t_ms,v_mV
0.000000,-65.000000
0.010000,-64.900332
0.020000,-64.801321
0.030000,-64.702946
0.040000,-64.605190
0.050000,-64.508034
0.060000,-64.411462
0.070000,-64.315456
0.080000,-64.220000
0.090000,-64.125079
0.100000,-64.030678
0.110000,-63.936782
0.120000,-63.843378
0.130000,-63.750451
0.140000,-63.657987
0.150000,-63.565974
0.160000,-63.474399
0.170000,-63.383248
0.180000,-63.292509
0.190000,-63.202170
0.200000,-63.112217
0.210000,-63.022641
0.220000,-62.933427
0.230000,-62.844564
0.240000,-62.756040
0.250000,-62.667844
0.260000,-62.579964
0.270000,-62.492388
0.280000,-62.405104
0.290000,-62.318101
0.300000,-62.231366
0.310000,-62.144889
0.320000,-62.058658
0.330000,-61.972660
0.340000,-61.886885
0.350000,-61.801320
0.360000,-61.715953
0.370000,-61.630773
0.380000,-61.545768
0.390000,-61.460925
0.400000,-61.376233
0.410000,-61.291679
0.420000,-61.207250
0.430000,-61.122935
0.440000,-61.038721
0.450000,-60.954594
0.460000,-60.870543
0.470000,-60.786554
0.480000,-60.702614
0.490000,-60.618710
0.500000,-60.534828
0.510000,-60.450955
0.520000,-60.367076
0.530000,-60.283177
0.540000,-60.199245
0.550000,-60.115265
0.560000,-60.031222
0.570000,-59.947101
0.580000,-59.862887
0.590000,-59.778564
0.600000,-59.694117
0.610000,-59.609529
0.620000,-59.524784
0.630000,-59.439865
0.640000,-59.354756
0.650000,-59.269439
0.660000,-59.183896
0.670000,-59.098109
0.680000,-59.012060
0.690000,-58.925729
0.700000,-58.839097
0.710000,-58.752145
0.720000,-58.664851
0.730000,-58.577196
0.740000,-58.489158
0.750000,-58.400715
0.760000,-58.311844
0.770000,-58.222523
0.780000,-58.132727
0.790000,-58.042434
0.800000,-57.951616
0.810000,-57.860250
0.820000,-57.768308
0.830000,-57.675763
0.840000,-57.582587
0.850000,-57.488751
0.860000,-57.394226
0.870000,-57.298981
0.880000,-57.202983
0.890000,-57.106201
0.900000,-57.008600
0.910000,-56.910145
0.920000,-56.810801
0.930000,-56.710529
0.940000,-56.609291
0.950000,-56.507047
0.960000,-56.403755
0.970000,-56.299373
0.980000,-56.193854
0.990000,-56.087154
1.000000,-55.979223
1.010000,-55.870011
1.020000,-55.759467
1.030000,-55.647536
1.040000,-55.534162
1.050000,-55.419286
1.060000,-55.302846
1.070000,-55.184780
1.080000,-55.065020
1.090000,-54.943496
1.100000,-54.820138
1.110000,-54.694868
1.120000,-54.567607
1.130000,-54.438273
1.140000,-54.306778
1.150000,-54.173033
1.160000,-54.036941
1.170000,-53.898403
1.180000,-53.757314
1.190000,-53.613565
1.200000,-53.467039
1.210000,-53.317615
1.220000,-53.165166
1.230000,-53.009557
1.240000,-52.850647
1.250000,-52.688285
1.260000,-52.522316
1.270000,-52.352572
1.280000,-52.178879
1.290000,-52.001050
1.300000,-51.818890
1.310000,-51.632191
1.320000,-51.440733
1.330000,-51.244284
1.340000,-51.042595
1.350000,-50.835405
1.360000,-50.622434
1.370000,-50.403386
1.380000,-50.177945
1.390000,-49.945776
1.400000,-49.706519
1.410000,-49.459793
1.420000,-49.205189
1.430000,-48.942272
1.440000,-48.670574
1.450000,-48.389596
1.460000,-48.098803
1.470000,-47.797621
1.480000,-47.485434
1.490000,-47.161579
1.500000,-46.825346
1.510000,-46.475966
1.520000,-46.112616
1.530000,-45.734404
1.540000,-45.340370
1.550000,-44.929475
1.560000,-44.500598
1.570000,-44.052524
1.580000,-43.583936
1.590000,-43.093411
1.600000,-42.579401
1.610000,-42.040229
1.620000,-41.474071
1.630000,-40.878947
1.640000,-40.252704
1.650000,-39.593002
1.660000,-38.897294
1.670000,-38.162812
1.680000,-37.386547
1.690000,-36.565229
1.700000,-35.695309
1.710000,-34.772937
1.720000,-33.793949
1.730000,-32.753846
1.740000,-31.647787
1.750000,-30.470580
1.760000,-29.216686
1.770000,-27.880237
1.780000,-26.455068
1.790000,-24.934773
1.800000,-23.312797
1.810000,-21.582565
1.820000,-19.737668
1.830000,-17.772110
1.840000,-15.680639
1.850000,-13.459167
1.860000,-11.105289
1.870000,-8.618901
1.880000,-6.002901
1.890000,-3.263945
1.900000,-0.413181
1.910000,2.533104
1.920000,5.553061
1.930000,8.619197
1.940000,11.698755
1.950000,14.754666
1.960000,17.747070
1.970000,20.635348
1.980000,23.380488
1.990000,25.947517
2.000000,28.307686
2.010000,30.440122
2.020000,32.332734
2.030000,33.982280
2.040000,35.393650
2.050000,36.578553
2.060000,37.553812
2.070000,38.339564
2.080000,38.957546
2.090000,39.429646
2.100000,39.776796
2.110000,40.018213
2.120000,40.170970
2.130000,40.249828
2.140000,40.267269
2.150000,40.233650
2.160000,40.157441
2.170000,40.045484
2.180000,39.903258
2.190000,39.735119
2.200000,39.544526
2.210000,39.334218
2.220000,39.106369
2.230000,38.862716
2.240000,38.604654
2.250000,38.333316
2.260000,38.049634
2.270000,37.754384
2.280000,37.448224
2.290000,37.131721
2.300000,36.805369
2.310000,36.469610
2.320000,36.124840
2.330000,35.771424
2.340000,35.409697
2.350000,35.039977
2.360000,34.662559
2.370000,34.277729
2.380000,33.885757
2.390000,33.486905
2.400000,33.081426
2.410000,32.669566
2.420000,32.251563
2.430000,31.827651
2.440000,31.398056
2.450000,30.963003
2.460000,30.522708
2.470000,30.077385
2.480000,29.627244
2.490000,29.172488
2.500000,28.713321
2.510000,28.249938
2.520000,27.782532
2.530000,27.311294
2.540000,26.836409
2.550000,26.358057
2.560000,25.876419
2.570000,25.391666
2.580000,24.903970
2.590000,24.413497
2.600000,23.920409
2.610000,23.424865
2.620000,22.927020
2.630000,22.427026
2.640000,21.925029
2.650000,21.421173
2.660000,20.915597
2.670000,20.408438
2.680000,19.899827
