# M1 通道分布表（形态学 + 电学参数规格，清单 §2）
# 单位：gna/gk/gl = mS/cm²，cm = µF/cm²，diameter_um/length_um = µm
# 每行一个隔室；parent 为该隔室所挂接的区段（root=胞体为根；同区段后续隔室挂本区段）
# 区段顺序即构建顺序：soma -> 树突链(dend1->dend2) 与 轴突链(ais->myelin1->node1->myelin2->node2->myelin3->node3)
# 参考形态：Mainen & Sejnowski 1996 皮层锥体神经元（简化）；HH 1952 通道；Ra=150 Ω·cm
#
# ---- M1 参数决策记录（详见 m1_report.md §2 与 m1_env_notes.md）----
# 1) 郎飞结 gNa=300 mS/cm²（哺乳动物结内 Na 密度 200–700 mS/cm² 范围；清单建议 120 为 squid 值，
#    实测 120 时结内再生不足、跳跃传导不成立 → 提高并记录）；
# 2) 郎飞结长度 2.0 µm（清单 1–2 µm 上限；增大结面积以增强再生电流）；
# 3) 髓鞘 gl=0.2 mS/cm²（清单 §2.2 的“极低 gL”会导致 λ 过长、髓鞘被动波无衰减，
#    跳跃现象不可观测（P6）；实测折中值，仍满足 gNa=gK=0 纯被动）；
# 4) 髓鞘 cm=0.1 µF/cm²（真实髓鞘降低电容；过大负载会使 AP 无法跨结传导，过小则髓鞘紧跟节点）；
# 5) AIS 保持 120 mS/cm²（触发点，清单原值）。
segment,compartment_index,parent,gna_mS_cm2,gk_mS_cm2,gl_mS_cm2,cm_uF_cm2,diameter_um,length_um
soma,0,root,120.0,36.0,0.3,1.0,20.0,20.0
dend1,0,soma,36.0,10.8,0.3,1.0,2.0,50.0
dend1,1,dend1,36.0,10.8,0.3,1.0,2.0,50.0
dend2,0,dend1,18.0,5.4,0.3,1.0,1.5,50.0
dend2,1,dend2,18.0,5.4,0.3,1.0,1.5,50.0
ais,0,soma,120.0,36.0,0.3,1.0,2.0,30.0
myelin1,0,ais,0.0,0.0,0.2,0.1,1.5,66.6666666667
myelin1,1,myelin1,0.0,0.0,0.2,0.1,1.5,66.6666666667
myelin1,2,myelin1,0.0,0.0,0.2,0.1,1.5,66.6666666667
node1,0,myelin1,300.0,36.0,0.3,1.0,1.5,2.0
myelin2,0,node1,0.0,0.0,0.2,0.1,1.5,66.6666666667
myelin2,1,myelin2,0.0,0.0,0.2,0.1,1.5,66.6666666667
myelin2,2,myelin2,0.0,0.0,0.2,0.1,1.5,66.6666666667
node2,0,myelin2,300.0,36.0,0.3,1.0,1.5,2.0
myelin3,0,node2,0.0,0.0,0.2,0.1,1.5,66.6666666667
myelin3,1,myelin3,0.0,0.0,0.2,0.1,1.5,66.6666666667
myelin3,2,myelin3,0.0,0.0,0.2,0.1,1.5,66.6666666667
node3,0,myelin3,300.0,36.0,0.3,1.0,1.5,2.0
