# M5 命令子图（P5/P6 结构基础：触觉 PLM/ALM/PVM/AVM + 命令 AVA/AVD/AVB/PVC + 运动 DA/DB/VA/VB + 肌肉；Cook 2019）
"# 列：role, neuron_class, neurotransmitter, synapse_from, synapse_to, synapse_type, g_max_ns, delay_ms, note"
"role,neuron_class,neurotransmitter,synapse_from,synapse_to,synapse_type,g_max_ns,delay_ms,note"
ALML,sensory,glut,,,,,,subgraph node
ALMR,sensory,glut,,,,,,subgraph node
AVAL,inter,glut,,,,,,subgraph node
AVAR,inter,glut,,,,,,subgraph node
AVBL,inter,ach,,,,,,subgraph node
AVBR,inter,ach,,,,,,subgraph node
AVDL,inter,glut,,,,,,subgraph node
AVDR,inter,glut,,,,,,subgraph node
AVM,inter,glut,,,,,,subgraph node
DA1,motor,ach,,,,,,subgraph node
DA2,motor,ach,,,,,,subgraph node
DA3,motor,ach,,,,,,subgraph node
DA4,motor,ach,,,,,,subgraph node
DA5,motor,ach,,,,,,subgraph node
DA6,motor,ach,,,,,,subgraph node
DA7,motor,ach,,,,,,subgraph node
DA8,motor,ach,,,,,,subgraph node
DA9,motor,ach,,,,,,subgraph node
DB1,motor,ach,,,,,,subgraph node
DB2,motor,ach,,,,,,subgraph node
DB3,motor,ach,,,,,,subgraph node
DB4,motor,ach,,,,,,subgraph node
DB5,motor,ach,,,,,,subgraph node
DB6,motor,ach,,,,,,subgraph node
DB7,motor,ach,,,,,,subgraph node
PLML,sensory,glut,,,,,,subgraph node
PLMR,sensory,glut,,,,,,subgraph node
PVCL,inter,ach,,,,,,subgraph node
PVCR,inter,ach,,,,,,subgraph node
PVM,sensory,glut,,,,,,subgraph node
VA1,motor,ach,,,,,,subgraph node
VA10,motor,ach,,,,,,subgraph node
VA11,motor,ach,,,,,,subgraph node
VA12,motor,ach,,,,,,subgraph node
VA2,motor,ach,,,,,,subgraph node
VA3,motor,ach,,,,,,subgraph node
VA4,motor,ach,,,,,,subgraph node
VA5,motor,ach,,,,,,subgraph node
VA6,motor,ach,,,,,,subgraph node
VA7,motor,ach,,,,,,subgraph node
VA8,motor,ach,,,,,,subgraph node
VA9,motor,ach,,,,,,subgraph node
VB1,motor,ach,,,,,,subgraph node
VB10,motor,ach,,,,,,subgraph node
VB11,motor,ach,,,,,,subgraph node
VB2,motor,ach,,,,,,subgraph node
VB3,motor,ach,,,,,,subgraph node
VB4,motor,ach,,,,,,subgraph node
VB5,motor,ach,,,,,,subgraph node
VB6,motor,ach,,,,,,subgraph node
VB7,motor,ach,,,,,,subgraph node
VB8,motor,ach,,,,,,subgraph node
VB9,motor,ach,,,,,,subgraph node
,,glut,ALML,ALML,chem,5.00,0.50,subgraph chem
,,glut,ALML,AVDR,chem,5.00,0.50,subgraph chem
,,glut,ALML,PVCL,chem,5.00,0.50,subgraph chem
,,glut,ALML,PVCR,chem,5.00,0.50,subgraph chem
,,glut,ALMR,PVCR,chem,5.00,0.50,subgraph chem
,,glut,AVAL,AVAR,chem,5.00,0.50,subgraph chem
,,glut,AVAL,AVBL,chem,5.00,0.50,subgraph chem
,,glut,AVAL,AVDL,chem,5.00,0.50,subgraph chem
,,glut,AVAL,AVDR,chem,5.00,0.50,subgraph chem
,,glut,AVAL,DA1,chem,5.00,0.50,subgraph chem
,,glut,AVAL,DA2,chem,5.00,0.50,subgraph chem
,,glut,AVAL,DA3,chem,5.00,0.50,subgraph chem
,,glut,AVAL,DA4,chem,5.00,0.50,subgraph chem
,,glut,AVAL,DA5,chem,5.00,0.50,subgraph chem
,,glut,AVAL,DA7,chem,5.00,0.50,subgraph chem
,,glut,AVAL,DA8,chem,5.00,0.50,subgraph chem
,,glut,AVAL,DA9,chem,5.00,0.50,subgraph chem
,,glut,AVAL,DB7,chem,5.00,0.50,subgraph chem
,,glut,AVAL,PVCL,chem,5.00,0.50,subgraph chem
,,glut,AVAL,PVCR,chem,5.00,0.50,subgraph chem
,,glut,AVAL,VA1,chem,5.00,0.50,subgraph chem
,,glut,AVAL,VA10,chem,5.00,0.50,subgraph chem
,,glut,AVAL,VA11,chem,5.00,0.50,subgraph chem
,,glut,AVAL,VA12,chem,5.00,0.50,subgraph chem
,,glut,AVAL,VA2,chem,5.00,0.50,subgraph chem
,,glut,AVAL,VA3,chem,5.00,0.50,subgraph chem
,,glut,AVAL,VA4,chem,5.00,0.50,subgraph chem
,,glut,AVAL,VA5,chem,5.00,0.50,subgraph chem
,,glut,AVAL,VA6,chem,5.00,0.50,subgraph chem
,,glut,AVAL,VA7,chem,5.00,0.50,subgraph chem
,,glut,AVAL,VA8,chem,5.00,0.50,subgraph chem
,,glut,AVAL,VA9,chem,5.00,0.50,subgraph chem
,,glut,AVAR,AVAL,chem,5.00,0.50,subgraph chem
,,glut,AVAR,AVBL,chem,5.00,0.50,subgraph chem
,,glut,AVAR,AVBR,chem,5.00,0.50,subgraph chem
,,glut,AVAR,AVDL,chem,5.00,0.50,subgraph chem
,,glut,AVAR,AVDR,chem,5.00,0.50,subgraph chem
