# M5 全连接组定稿源（唯一定稿源，可修改复现）——B1a 执行节点按《生物仿真M5实施清单》§2 构建。
"# 列：role, neuron_class, neurotransmitter, receptor, synapse_from, synapse_to, synapse_type,"
"#     g_max_ns, delay_ms, g_gap_ns, muscle_target, note"
# 行语义：
#   - 神经元行：role=<302 神经元名>，neuron_class=<sensory|inter|motor|pharyngeal>，
#     neurotransmitter=<ach|glut|gaba|dopamine|serotonin|other>（覆盖率 100%），
#     muscle_target=<body_fwd|body_back|head_left|head_right>（运动神经元→虚拟身体通道，可选）。
#   - 化学突触行：synapse_from + synapse_to + synapse_type=chem + neurotransmitter（突触前递质）
#     + receptor（§2.3 映射：ach/glut→ampa、gaba→gaba、dopamine/serotonin→mod、other→none）
#     + g_max_ns（初始权重占位，§6 校准）+ delay_ms。
#   - 缝隙连接行：synapse_from + synapse_to + synapse_type=gap + g_gap_ns（初始占位）+ delay_ms。
#   - 肌肉行：role=muscle_drive，synapse_from=<运动神经元>，synapse_to=<4 通道>，
#     synapse_type=muscle，g_max_ns=收缩增量 w 占位（M3/M4 定稿值：fwd 0.18/back 0.60/head 0.50）。
# 
# PROVENANCE（数据源与版本，诚实性记录）：
#   - PRIMARY: openworm/c302 仓库 c302/data/herm_full_edgelist.csv（MIT License），
"#     = Cook et al. 2019, Nature 571:63-71 雌雄同体全连接组 full edge list；"
#     2026-08-25 经 api.github.com 下载（raw.githubusercontent 沙箱不可达）。
#   - 交叉核对: SI5_adjacency.xlsx（Cook 2019 官方 SI5 邻接矩阵，逐对一致）；
#     networks.skewed.de celegans_2019 官方 synapse list（node_type 分类源）；
#     aconnectome_white_1986_whole.csv（White 1986 数字化，对照）；
#     owmeta_cache.json（OpenWorm 302 神经元 class+neurotransmitter 标注，
#     源自 Pereira 2015 / Serrano-Saiz 2013 等文献编译）。
#   - 计数诚实性（预注册 §0 #5）：权威数据为唯一计数源，不得为过 Pass 改动；
#     本文件含真实连接组全部神经元-神经元化学/缝隙连接（含自连接，白名单保留）。
#   - 计数语义：化学突触行=神经元间有向连接对（Weight=突触计数见 counts.json）；
#     缝隙行=神经元间无向唯一对（多重连接合并）。
#   - 简化假设（详见 docs/m5_env_notes.md L7+）：AIY 实际递质=ach（M4 以 GABA 简化，差异记录）；
#     AVM 规范分类=inter（Cook=sensory）；真实体壁肌肉→虚拟 4 通道聚合；
#     DD/VD（GABA 能）/VC/HSN（性特异）/RME 不产生 muscle_drive 行。
role,neuron_class,neurotransmitter,receptor,synapse_from,synapse_to,synapse_type,g_max_ns,delay_ms,g_gap_ns,muscle_target,note
# ---- 神经元（302；分类：Cook 2019 node_type + 规范 override；递质：owmeta + 文献补充）----
ADAL,inter,glut,,,,,,,,,
ADAR,inter,glut,,,,,,,,,
ADEL,sensory,dopamine,,,,,,,,,
ADER,sensory,dopamine,,,,,,,,,
ADFL,sensory,serotonin,,,,,,,,,
ADFR,sensory,serotonin,,,,,,,,,
ADLL,sensory,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
ADLR,sensory,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AFDL,sensory,glut,,,,,,,,,
AFDR,sensory,glut,,,,,,,,,
AIAL,inter,ach,,,,,,,,,
AIAR,inter,ach,,,,,,,,,
AIBL,inter,glut,,,,,,,,,
AIBR,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AIML,inter,glut,,,,,,,,,
AIMR,inter,glut,,,,,,,,,
AINL,inter,ach,,,,,,,,,
AINR,inter,ach,,,,,,,,,
AIYL,inter,ach,,,,,,,,,
AIYR,inter,ach,,,,,,,,,
AIZL,inter,glut,,,,,,,,,
AIZR,inter,glut,,,,,,,,,
ALA,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
ALML,sensory,glut,,,,,,,,,
ALMR,sensory,glut,,,,,,,,,
ALNL,sensory,ach,,,,,,,,,
ALNR,sensory,ach,,,,,,,,,
AQR,sensory,glut,,,,,,,,,
AS1,motor,ach,,,,,,,,body_back,
AS10,motor,ach,,,,,,,,body_back,
AS11,motor,ach,,,,,,,,body_back,
AS2,motor,ach,,,,,,,,body_back,
AS3,motor,ach,,,,,,,,body_back,
AS4,motor,ach,,,,,,,,body_back,
AS5,motor,ach,,,,,,,,body_back,
AS6,motor,ach,,,,,,,,body_back,
AS7,motor,ach,,,,,,,,body_back,
AS8,motor,ach,,,,,,,,body_back,
AS9,motor,ach,,,,,,,,body_back,
ASEL,sensory,glut,,,,,,,,,
ASER,sensory,glut,,,,,,,,,
ASGL,sensory,glut,,,,,,,,,
ASGR,sensory,glut,,,,,,,,,
ASHL,sensory,glut,,,,,,,,,
ASHR,sensory,glut,,,,,,,,,
ASIL,sensory,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
ASIR,sensory,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
ASJL,sensory,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
