# M5 P4 身体语义对照（validate_p4_chemotaxis.run_p4_body_comparison；同种子 N=6，T=15s）
metric,value,note
m4_body_ci,"[0.9766666666666667, -0.21833333333333332, 0.365, 0.6083333333333333, -0.06333333333333334, 0.49333333333333335]",M4 ChemotaxisBody（前向，忽略 C_back）
m4_body_ci_mean,0.36027777777777775,M4 ChemotaxisBody（前向，忽略 C_back）
m4_body_displacement,"[3.943541849270142, 4.389866729108887, 4.332398863790032, 6.258460563687172, 3.9959162252179303, 5.510098368066212]",M4 ChemotaxisBody（前向，忽略 C_back）
m4_body_disp_mean,4.738380433190063,M4 ChemotaxisBody（前向，忽略 C_back）
m5_body_ci,"[0.32666666666666666, -0.6333333333333333, 0.8216666666666667, -1.0, -1.0, -0.96]",M5 VirtualBody（含后退通道，判据主体）
m5_body_ci_mean,-0.4075,M5 VirtualBody（含后退通道，判据主体）
m5_body_displacement,"[0.3603700871143078, 0.22354148954637354, 0.45239984709666536, 0.19265173571011837, 0.29706685876247246, 0.3530267270871745]",M5 VirtualBody（含后退通道，判据主体）
m5_body_disp_mean,0.3131761242195186,M5 VirtualBody（含后退通道，判据主体）
delta_ci_mean,0.7677777777777777,
conclusion,M4 前向身体（忽略 C_back）同种子 CĪ=+0.360（位移 4.74/15s）vs M5 定稿 VirtualBody CĪ=-0.407（位移 0.31/15s）——差异来源 = 身体语义（M5 含后退通道：fwd/back 运动池夹带共同发放 → v≈0 → 无净趋化位移，L39/L40），非统计噪声；M4 语义仅作对照记录，不改变 P4 判据主体（主 agent 裁决 2026-08-26）,
