# M5 咽部子图（P3 节律验证结构基础；20 神经元，Cook 2019）
"# 列：role, neuron_class, neurotransmitter, synapse_from, synapse_to, synapse_type, g_max_ns, delay_ms, note"
"role,neuron_class,neurotransmitter,synapse_from,synapse_to,synapse_type,g_max_ns,delay_ms,note"
I1L,pharyngeal,ach,,,,,,subgraph node
I1R,pharyngeal,ach,,,,,,subgraph node
I2L,pharyngeal,glut,,,,,,subgraph node
I2R,pharyngeal,other,,,,,,subgraph node
I3,pharyngeal,other,,,,,,subgraph node
I4,pharyngeal,other,,,,,,subgraph node
I5,pharyngeal,glut,,,,,,subgraph node
I6,pharyngeal,ach,,,,,,subgraph node
M1,pharyngeal,ach,,,,,,subgraph node
M2L,pharyngeal,ach,,,,,,subgraph node
M2R,pharyngeal,ach,,,,,,subgraph node
M3L,pharyngeal,glut,,,,,,subgraph node
M3R,pharyngeal,glut,,,,,,subgraph node
M4,pharyngeal,ach,,,,,,subgraph node
M5,pharyngeal,ach,,,,,,subgraph node
MCL,pharyngeal,ach,,,,,,subgraph node
MCR,pharyngeal,ach,,,,,,subgraph node
MI,pharyngeal,glut,,,,,,subgraph node
NSML,pharyngeal,serotonin,,,,,,subgraph node
NSMR,pharyngeal,serotonin,,,,,,subgraph node
,,ach,I1L,I2L,chem,5.00,0.50,subgraph chem
,,ach,I1L,I3,chem,5.00,0.50,subgraph chem
,,ach,I1L,I5,chem,5.00,0.50,subgraph chem
,,ach,I1L,I6,chem,5.00,0.50,subgraph chem
,,ach,I1L,M2L,chem,5.00,0.50,subgraph chem
,,ach,I1L,M3L,chem,5.00,0.50,subgraph chem
,,ach,I1L,M3R,chem,5.00,0.50,subgraph chem
,,ach,I1L,MCL,chem,5.00,0.50,subgraph chem
,,ach,I1L,MCR,chem,5.00,0.50,subgraph chem
,,ach,I1L,MI,chem,5.00,0.50,subgraph chem
,,ach,I1L,NSML,chem,5.00,0.50,subgraph chem
,,ach,I1R,I2R,chem,5.00,0.50,subgraph chem
,,ach,I1R,I3,chem,5.00,0.50,subgraph chem
,,ach,I1R,I5,chem,5.00,0.50,subgraph chem
,,ach,I1R,M1,chem,5.00,0.50,subgraph chem
,,ach,I1R,M2L,chem,5.00,0.50,subgraph chem
,,ach,I1R,M2R,chem,5.00,0.50,subgraph chem
,,ach,I1R,M3L,chem,5.00,0.50,subgraph chem
,,ach,I1R,M3R,chem,5.00,0.50,subgraph chem
,,ach,I1R,MCL,chem,5.00,0.50,subgraph chem
,,ach,I1R,MCR,chem,5.00,0.50,subgraph chem
,,ach,I1R,MI,chem,5.00,0.50,subgraph chem
,,ach,I1R,NSML,chem,5.00,0.50,subgraph chem
,,ach,I1R,NSMR,chem,5.00,0.50,subgraph chem
,,glut,I2L,I1L,chem,5.00,0.50,subgraph chem
,,glut,I2L,I2R,chem,5.00,0.50,subgraph chem
,,glut,I2L,I4,chem,5.00,0.50,subgraph chem
,,glut,I2L,I5,chem,5.00,0.50,subgraph chem
,,glut,I2L,M1,chem,5.00,0.50,subgraph chem
,,glut,I2L,NSML,chem,5.00,0.50,subgraph chem
,,glut,I2L,NSMR,chem,5.00,0.50,subgraph chem
,,other,I2R,I1R,chem,0.00,0.50,subgraph chem
,,other,I2R,I2L,chem,0.00,0.50,subgraph chem
,,other,I2R,I4,chem,0.00,0.50,subgraph chem
,,other,I2R,I5,chem,0.00,0.50,subgraph chem
,,other,I2R,M1,chem,0.00,0.50,subgraph chem
,,other,I2R,M2R,chem,0.00,0.50,subgraph chem
,,other,I2R,M3R,chem,0.00,0.50,subgraph chem
,,other,I2R,M4,chem,0.00,0.50,subgraph chem
,,other,I2R,MCL,chem,0.00,0.50,subgraph chem
,,other,I2R,NSML,chem,0.00,0.50,subgraph chem
,,other,I2R,NSMR,chem,0.00,0.50,subgraph chem
,,other,I3,I1L,chem,0.00,0.50,subgraph chem
,,other,I3,I5,chem,0.00,0.50,subgraph chem
,,other,I3,I6,chem,0.00,0.50,subgraph chem
,,other,I3,M1,chem,0.00,0.50,subgraph chem
,,other,I3,M2L,chem,0.00,0.50,subgraph chem
,,other,I3,M3L,chem,0.00,0.50,subgraph chem
,,other,I3,M3R,chem,0.00,0.50,subgraph chem
,,other,I3,M4,chem,0.00,0.50,subgraph chem
,,other,I3,MCL,chem,0.00,0.50,subgraph chem
,,other,I3,MCR,chem,0.00,0.50,subgraph chem
,,other,I3,MI,chem,0.00,0.50,subgraph chem
,,other,I3,NSMR,chem,0.00,0.50,subgraph chem
,,other,I4,I2R,chem,0.00,0.50,subgraph chem
,,other,I4,I5,chem,0.00,0.50,subgraph chem
,,other,I4,M2L,chem,0.00,0.50,subgraph chem
,,other,I4,M3L,chem,0.00,0.50,subgraph chem
,,other,I4,M3R,chem,0.00,0.50,subgraph chem
,,other,I4,MI,chem,0.00,0.50,subgraph chem
,,other,I4,NSML,chem,0.00,0.50,subgraph chem
,,other,I4,NSMR,chem,0.00,0.50,subgraph chem
,,glut,I5,I1L,chem,5.00,0.50,subgraph chem
,,glut,I5,I2L,chem,5.00,0.50,subgraph chem
,,glut,I5,I2R,chem,5.00,0.50,subgraph chem
,,glut,I5,I3,chem,5.00,0.50,subgraph chem
,,glut,I5,I4,chem,5.00,0.50,subgraph chem
,,glut,I5,M1,chem,5.00,0.50,subgraph chem
,,glut,I5,M2L,chem,5.00,0.50,subgraph chem
,,glut,I5,M3L,chem,5.00,0.50,subgraph chem
,,glut,I5,M3R,chem,5.00,0.50,subgraph chem
,,glut,I5,M4,chem,5.00,0.50,subgraph chem
,,glut,I5,MI,chem,5.00,0.50,subgraph chem
,,glut,I5,NSML,chem,5.00,0.50,subgraph chem
,,glut,I5,NSMR,chem,5.00,0.50,subgraph chem
,,ach,I6,I1R,chem,5.00,0.50,subgraph chem
,,ach,I6,I2L,chem,5.00,0.50,subgraph chem
,,ach,I6,I2R,chem,5.00,0.50,subgraph chem
,,ach,I6,I3,chem,5.00,0.50,subgraph chem
,,ach,I6,M3L,chem,5.00,0.50,subgraph chem
,,ach,I6,M4,chem,5.00,0.50,subgraph chem
,,ach,I6,NSML,chem,5.00,0.50,subgraph chem
,,ach,I6,NSMR,chem,5.00,0.50,subgraph chem
,,ach,M1,I2L,chem,5.00,0.50,subgraph chem
,,ach,M1,I2R,chem,5.00,0.50,subgraph chem
,,ach,M1,I3,chem,5.00,0.50,subgraph chem
,,ach,M1,I4,chem,5.00,0.50,subgraph chem
,,ach,M1,I5,chem,5.00,0.50,subgraph chem
,,ach,M1,MI,chem,5.00,0.50,subgraph chem
,,ach,M1,NSML,chem,5.00,0.50,subgraph chem
,,ach,M2L,I3,chem,5.00,0.50,subgraph chem
,,ach,M2L,I4,chem,5.00,0.50,subgraph chem
,,ach,M2L,I5,chem,5.00,0.50,subgraph chem
,,ach,M2L,M3L,chem,5.00,0.50,subgraph chem
,,ach,M2L,M3R,chem,5.00,0.50,subgraph chem
,,ach,M2R,I4,chem,5.00,0.50,subgraph chem
,,ach,M2R,I5,chem,5.00,0.50,subgraph chem
,,ach,M2R,M3L,chem,5.00,0.50,subgraph chem
,,ach,M2R,M3R,chem,5.00,0.50,subgraph chem
,,ach,M2R,NSMR,chem,5.00,0.50,subgraph chem
,,glut,M3L,NSML,chem,5.00,0.50,subgraph chem
,,glut,M3R,M4,chem,5.00,0.50,subgraph chem
,,ach,M4,I4,chem,5.00,0.50,subgraph chem
,,ach,M4,I5,chem,5.00,0.50,subgraph chem
,,ach,M4,M2L,chem,5.00,0.50,subgraph chem
,,ach,M4,M3L,chem,5.00,0.50,subgraph chem
,,ach,M4,M4,chem,5.00,0.50,subgraph chem
,,ach,M4,MCL,chem,5.00,0.50,subgraph chem
,,glut,MI,I1L,chem,5.00,0.50,subgraph chem
,,glut,MI,I3,chem,5.00,0.50,subgraph chem
,,glut,MI,I4,chem,5.00,0.50,subgraph chem
,,glut,MI,M1,chem,5.00,0.50,subgraph chem
,,glut,MI,M2L,chem,5.00,0.50,subgraph chem
,,glut,MI,M2R,chem,5.00,0.50,subgraph chem
,,glut,MI,M3L,chem,5.00,0.50,subgraph chem
,,glut,MI,MCL,chem,5.00,0.50,subgraph chem
,,glut,MI,NSML,chem,5.00,0.50,subgraph chem
,,glut,MI,NSMR,chem,5.00,0.50,subgraph chem
,,serotonin,NSML,I4,chem,0.00,0.50,subgraph chem
,,serotonin,NSML,M3L,chem,0.00,0.50,subgraph chem
,,serotonin,NSML,M3R,chem,0.00,0.50,subgraph chem
,,serotonin,NSML,M4,chem,0.00,0.50,subgraph chem
,,serotonin,NSML,NSMR,chem,0.00,0.50,subgraph chem
,,serotonin,NSMR,I2L,chem,0.00,0.50,subgraph chem
,,serotonin,NSMR,I2R,chem,0.00,0.50,subgraph chem
,,serotonin,NSMR,I4,chem,0.00,0.50,subgraph chem
,,serotonin,NSMR,I6,chem,0.00,0.50,subgraph chem
,,serotonin,NSMR,M3R,chem,0.00,0.50,subgraph chem
,,,I1L,I2L,gap,,0.05,subgraph gap
,,,I1L,M3L,gap,,0.05,subgraph gap
,,,I1L,MCR,gap,,0.05,subgraph gap
,,,I1L,NSML,gap,,0.05,subgraph gap
,,,I1R,I2R,gap,,0.05,subgraph gap
,,,I1R,I3,gap,,0.05,subgraph gap
,,,I1R,MCR,gap,,0.05,subgraph gap
,,,I1R,NSMR,gap,,0.05,subgraph gap
,,,I2L,I4,gap,,0.05,subgraph gap
,,,I2L,M2L,gap,,0.05,subgraph gap
,,,I2R,M1,gap,,0.05,subgraph gap
,,,I2R,M2R,gap,,0.05,subgraph gap
,,,I2R,MCR,gap,,0.05,subgraph gap
,,,I2R,NSMR,gap,,0.05,subgraph gap
,,,I3,M1,gap,,0.05,subgraph gap
,,,I3,MI,gap,,0.05,subgraph gap
,,,I4,M2R,gap,,0.05,subgraph gap
,,,I4,M4,gap,,0.05,subgraph gap
,,,I5,M2L,gap,,0.05,subgraph gap
,,,I5,M2R,gap,,0.05,subgraph gap
,,,I5,M5,gap,,0.05,subgraph gap
,,,I6,M4,gap,,0.05,subgraph gap
,,,M2L,M4,gap,,0.05,subgraph gap
,,,M2L,MCL,gap,,0.05,subgraph gap
,,,M2R,M3R,gap,,0.05,subgraph gap
,,,M2R,MCR,gap,,0.05,subgraph gap
,,,M2R,MI,gap,,0.05,subgraph gap
,,,M3L,NSMR,gap,,0.05,subgraph gap
,,,M3R,NSMR,gap,,0.05,subgraph gap
,,,M4,M4,gap,,0.05,subgraph gap
,,,M4,M5,gap,,0.05,subgraph gap
,,,M5,M5,gap,,0.05,subgraph gap
,,,NSML,NSMR,gap,,0.05,subgraph gap
