# index, node_type, node_subtype, name, _pos
0,PHARYNX,,I1L,"array([-11.44074767, -10.00165623])"
1,PHARYNX,,I1R,"array([-12.19539363, -10.21156192])"
2,PHARYNX,,I2L,"array([-11.31182705,  -9.13559368])"
3,PHARYNX,,I2R,"array([-13.13057984, -10.89412273])"
4,PHARYNX,,I3,"array([-11.82550633,  -8.95718572])"
5,PHARYNX,,I4,"array([-13.15315787,  -9.66213246])"
6,PHARYNX,,I5,"array([-13.24391153,  -8.19878044])"
7,PHARYNX,,I6,"array([-11.52455822,  -7.91544119])"
8,PHARYNX,,M1,"array([-11.96287419,  -8.21261211])"
9,PHARYNX,,M2L,"array([-12.86342935,  -9.28031023])"
10,PHARYNX,,M2R,"array([-14.25384736,  -9.30975748])"
11,PHARYNX,,M3L,"array([-12.72085765,  -9.96430721])"
12,PHARYNX,,M3R,"array([-13.18118251,  -8.91083384])"
13,PHARYNX,,M4,"array([-12.68590923,  -8.53100482])"
14,PHARYNX,,M5,"array([-13.57216464,  -6.53668851])"
15,PHARYNX,,MCL,"array([-10.58923876,  -9.8393429 ])"
16,PHARYNX,,MCR,"array([-10.39106233, -11.10039046])"
17,PHARYNX,,MI,"array([-11.90709719,  -9.54308691])"
18,PHARYNX,,NSML,"array([-12.42323468,  -8.91190907])"
19,PHARYNX,,NSMR,"array([-12.42284262,  -9.39602308])"
20,PHARYNX,,pm1,"array([-11.98879209, -11.64661522])"
21,PHARYNX,,pm2D,"array([-10.8481799,  -6.4193485])"
22,PHARYNX,,pm2VL,"array([-11.80835446,  -6.27895018])"
23,PHARYNX,,pm2VR,"array([-17.10379642,   7.60903258])"
24,PHARYNX,,pm3D,"array([-11.23902469, -12.3246663 ])"
25,PHARYNX,,pm3VL,"array([-10.15518946,  -9.04670075])"
26,PHARYNX,,pm3VR,"array([-12.98004636, -12.09551163])"
27,PHARYNX,,pm4D,"array([-12.60703148, -10.50837702])"
28,PHARYNX,,pm4VL,"array([-11.7100131 , -10.74437491])"
29,PHARYNX,,pm4VR,"array([-14.14133828, -10.33524585])"
30,PHARYNX,,pm5D,"array([-11.23108353,  -8.54119093])"
31,PHARYNX,,pm5VL,"array([-13.89619983,  -8.71523792])"
32,PHARYNX,,pm5VR,"array([-13.7615689 ,  -9.60061294])"
33,PHARYNX,,pm6D,"array([-14.06525909,  -5.3218685 ])"
34,PHARYNX,,pm6VL,"array([-14.67000198,  -6.97899872])"
35,PHARYNX,,pm6VR,"array([-12.69044511,  -4.98699311])"
36,PHARYNX,,pm7D,"array([-15.4196044 ,  -6.01756808])"
37,PHARYNX,,pm7VL,"array([-14.95106978,  -5.00401659])"
38,PHARYNX,,pm7VR,"array([-13.63015259,  -4.47057121])"
39,PHARYNX,,pm8,"array([  8.2139711 , -20.83121316])"
40,PHARYNX,,mc1DL,"array([-10.19722473, -18.57798693])"
41,PHARYNX,,mc1DR,"array([ 21.33744434, -14.8052263 ])"
42,PHARYNX,,mc1V,"array([-5.51279061, 22.93721641])"
43,PHARYNX,,mc2DL,"array([26.7818847 ,  2.06754098])"
44,PHARYNX,,mc2DR,"array([-3.95811823, 17.5879529 ])"
45,PHARYNX,,mc2V,"array([ -9.21642321, -10.90486029])"
46,PHARYNX,,mc3DL,"array([-11.30655443,   5.56336818])"
47,PHARYNX,,mc3DR,"array([-10.7876175 ,   8.32258152])"
48,PHARYNX,,mc3V,"array([  1.372186  , -15.37718178])"
49,PHARYNX,,e2D,"array([22.53142473, -6.32823296])"
50,PHARYNX,,e2VL,"array([ 18.44889299, -14.14363822])"
51,PHARYNX,,e2VR,"array([-13.32503897,   4.10479993])"
52,PHARYNX,,e3D,"array([-10.09157642,  -7.02713404])"
53,PHARYNX,,e3VL,"array([-10.12716817,  -8.06396383])"
54,PHARYNX,,e3VR,"array([-14.33641122, -12.36235201])"
55,PHARYNX,,g1AL,"array([-13.06992913,  -7.33608049])"
56,PHARYNX,,g1AR,"array([-14.20487816,  -7.87730335])"
57,SENSORY NEURONS,,ASIL,"array([3.0399074 , 2.65987388])"
58,SENSORY NEURONS,,ASIR,"array([4.18048913, 3.49543947])"
59,SENSORY NEURONS,,ASJL,"array([4.61676321, 4.7457063 ])"
60,SENSORY NEURONS,,ASJR,"array([4.78174004, 5.6370079 ])"
61,SENSORY NEURONS,,AWAL,"array([3.50006056, 4.45275991])"
62,SENSORY NEURONS,,AWAR,"array([3.88567675, 4.22068841])"
63,SENSORY NEURONS,,ASGL,"array([2.60382835, 3.71298356])"
64,SENSORY NEURONS,,ASGR,"array([3.19427701, 3.82074619])"
65,SENSORY NEURONS,,AWBL,"array([4.54530938, 3.45933817])"
66,SENSORY NEURONS,,AWBR,"array([4.63831847, 3.79116725])"
67,SENSORY NEURONS,,ASEL,"array([3.60599139, 2.92280343])"
68,SENSORY NEURONS,,ASER,"array([3.85089252, 3.82258408])"
69,SENSORY NEURONS,,ADFL,"array([4.04300951, 2.37359187])"
70,SENSORY NEURONS,,ADFR,"array([4.46217383, 2.75297804])"
