# source, target, synapses
0,2,2
0,11,1
0,16,1
0,28,1
1,4,1
1,16,3
1,19,1
1,26,2
1,29,1
2,0,2
2,9,1
2,53,2
3,8,1
3,10,1
3,19,2
3,54,1
4,1,1
4,8,1
4,17,1
4,27,1
4,30,1
5,10,2
5,13,1
5,31,1
6,9,1
6,10,1
6,14,2
6,55,2
6,56,2
7,13,2
8,3,1
8,4,1
8,30,2
9,2,1
9,6,1
9,13,1
9,15,1
9,28,1
9,31,1
9,55,2
10,3,1
10,5,2
10,6,1
10,12,1
10,16,2
10,17,1
10,56,2
11,0,1
11,19,1
11,30,1
11,31,1
11,55,1
12,10,1
12,29,1
12,30,1
12,32,1
12,56,2
13,5,1
13,7,2
13,9,1
13,13,1
13,14,1
13,30,1
13,31,1
13,32,1
13,55,6
13,56,2
14,6,2
14,13,1
14,14,1
14,34,1
14,35,1
15,9,1
16,0,1
16,1,3
16,10,2
17,4,1
17,10,1
17,27,2
18,19,1
19,1,1
19,3,2
19,11,1
19,18,1
19,30,2
20,52,2
25,53,1
26,1,2
27,4,1
27,17,2
28,0,1
28,9,1
29,1,1
29,12,1
30,4,1
30,8,2
30,11,1
30,12,1
30,13,1
30,19,2
31,5,1
31,9,1
31,11,1
31,13,1
32,12,1
32,13,1
34,14,1
35,14,1
52,20,2
53,2,2
53,25,1
54,3,1
55,6,2
55,9,2
55,11,1
55,13,6
56,6,2
56,10,2
56,12,2
56,13,2
57,58,1
57,141,1
57,426,1
58,57,1
58,64,3
58,149,1
58,151,1
59,60,1
59,116,1
59,157,1
59,158,1
59,243,1
60,59,1
60,143,1
60,159,2
61,62,1
61,79,1
61,154,1
62,61,1
62,70,1
62,151,1
62,155,1
63,65,1
63,67,1
63,141,1
63,142,1
63,154,1
63,243,1
64,58,3
64,68,1
64,70,1
64,74,1
64,80,1
64,140,1
64,151,2
64,155,1
65,63,1
65,66,1
65,152,1
65,183,1
66,65,1
66,68,1
66,70,1
66,153,1
66,184,1
66,187,1
67,63,1
67,71,4
67,72,1
67,73,1
67,74,2
68,64,1
68,66,1
68,72,1
68,159,1
68,439,1
69,71,2
69,73,1
69,77,1
69,145,1
69,154,1
69,160,2
69,204,1
69,219,1
69,436,1
70,62,1
70,64,1
70,66,1
70,72,2
70,144,1
70,151,3
70,161,1
70,245,1
70,249,1
70,439,1
71,67,4
71,69,2
71,72,1
71,145,4
71,148,1
71,185,1
71,208,1
72,67,1
72,68,1
72,70,2
72,71,1
72,74,1
72,78,2
72,146,1
72,186,1
72,234,1
73,67,1
73,69,1
73,152,1
74,64,1
74,67,2
74,72,1
74,151,1
75,76,2
75,77,7
75,158,4
75,169,2
75,185,1
75,444,1
76,75,2
76,76,1
76,78,1
76,80,1
76,151,1
76,157,1
76,159,5
76,170,2
76,184,1
76,186,2
76,445,2
77,69,1
77,75,7
77,78,2
77,154,1
77,160,1
77,183,1
77,187,2
78,72,2
78,76,1
78,77,2
78,151,1
78,155,2
78,161,1
78,169,1
78,184,2
78,188,2
78,209,1
78,216,2
79,61,1
79,80,1
79,183,1
79,200,1
79,439,1
80,64,1
80,76,1
80,79,1
81,82,1
81,141,1
81,147,1
81,181,1
81,182,1
82,81,1
82,147,2
82,208,1
83,116,1
83,183,2
84,117,2
84,153,1
84,184,4
84,188,1
85,243,1
85,244,1
85,247,2
85,439,2
86,105,1
86,184,1
86,242,1
87,108,1
87,110,1
87,112,2
88,98,1
88,109,2
88,294,2
88,439,1
89,90,1
89,99,1
89,101,1
89,255,1
90,89,1
90,94,1
90,101,1
90,185,1
90,189,1
90,213,1
90,235,3
90,236,3
90,252,1
