# index, node_type, node_subtype, name, _pos
0,PHARYNX,,I1L,"array([-2.89735409,  9.46536717])"
1,PHARYNX,,I1R,"array([0.1480011 , 7.06254958])"
2,PHARYNX,,I2L,"array([-4.37419867, 10.31609641])"
3,PHARYNX,,I2R,"array([-0.34976579,  6.26694914])"
4,PHARYNX,,I3,"array([-0.09319585,  8.21335132])"
5,PHARYNX,,I4,"array([-3.22267157,  7.33640343])"
6,PHARYNX,,I5,"array([-4.46165925,  6.69753246])"
7,PHARYNX,,I6,"array([-5.65261197,  6.93370293])"
8,PHARYNX,,M1,"array([-0.51289205,  7.4028644 ])"
9,PHARYNX,,M2L,"array([-4.73646978,  8.50902349])"
10,PHARYNX,,M2R,"array([-2.27497451,  6.96430904])"
11,PHARYNX,,M3L,"array([-2.5980526 ,  8.01654475])"
12,PHARYNX,,M3R,"array([-2.07281736,  5.72525651])"
13,PHARYNX,,M4,"array([-3.87687511,  6.841983  ])"
14,PHARYNX,,M5,"array([-5.37970925,  5.64757061])"
15,PHARYNX,,MCL,"array([-6.13933439,  9.0368548 ])"
16,PHARYNX,,MCR,"array([-1.55500091,  8.26075372])"
17,PHARYNX,,MI,"array([-0.8535233 ,  8.75922986])"
18,PHARYNX,,NSML,"array([-1.11150728,  4.60611577])"
19,PHARYNX,,NSMR,"array([-1.19651242,  6.39656215])"
20,PHARYNX,,pm1,"array([ 18.1737878 , -25.02886273])"
21,PHARYNX,,pm2D,"array([17.56077218,  0.74218603])"
22,PHARYNX,,pm2VL,"array([ -0.10384956, -40.37005593])"
23,PHARYNX,,pm2VR,"array([ 13.29853229, -30.65018178])"
24,PHARYNX,,pm3D,"array([ -1.01865944, -35.43947399])"
25,PHARYNX,,pm3VL,"array([-5.44956978, 12.8358018 ])"
26,PHARYNX,,pm3VR,"array([1.69972159, 7.17489375])"
27,PHARYNX,,pm4D,"array([0.26613051, 9.42755538])"
28,PHARYNX,,pm4VL,"array([-4.03826301,  9.5494174 ])"
29,PHARYNX,,pm4VR,"array([-0.43882948,  5.43992864])"
30,PHARYNX,,pm5D,"array([-1.66231695,  7.23604061])"
31,PHARYNX,,pm5VL,"array([-3.68583107,  8.24019146])"
32,PHARYNX,,pm5VR,"array([-3.36119472,  5.15084323])"
33,PHARYNX,,pm6D,"array([-17.432332  , -36.55554261])"
34,PHARYNX,,pm6VL,"array([-5.90655371,  4.34595137])"
35,PHARYNX,,pm6VR,"array([-6.82082904,  5.38443248])"
