# M6 P1 STDP 实测 vs 理论（成对协议 Δt∈{−60..+60}ms × 50 对；PointNeuron + StdpSynapse ampa；确定性 seed=0）
# 判据（预注册 §0 P1）：每点 |ΔW_rel 差| ≤ 0.2；幅值比 A₋/A₊=0.9；权重有界 [0,w_max]；确定性重跑逐位一致
dt_ms,dt_ms_realized,dW_rel_meas,dW_rel_theory,dW_rel_diff,ok,w_final,w_min,w_max
-60.0,-60.0000,-0.0004480832,-0.0004480836,4.05e-10,True,0.977596,0.977596,1.000000
-40.0,-40.0000,-0.0012180174,-0.0012180175,1.47e-10,True,0.939099,0.939099,1.000000
-20.0,-20.0000,-0.0033109149,-0.0033109150,4.82e-11,True,0.834454,0.834454,1.000000
-10.0,-10.0000,-0.0054587759,-0.0054587759,2.23e-11,True,0.727061,0.727061,1.000000
-5.0,-5.0000,-0.0070092070,-0.0070092070,1.18e-11,True,0.649540,0.649540,1.000000
5.0,5.0000,0.0077880078,0.0077880078,7.61e-12,True,1.389400,1.000000,1.389400
10.0,10.0000,0.0060653066,0.0060653066,1.77e-11,True,1.303265,1.000000,1.303265
20.0,20.0000,0.0036787944,0.0036787944,4.20e-11,True,1.183940,1.000000,1.183940
40.0,40.0000,0.0013533527,0.0013533528,1.32e-10,True,1.067668,1.000000,1.067668
60.0,60.0000,0.0004978703,0.0004978707,3.64e-10,True,1.024894,1.000000,1.024894
# summary
# stdp_pass=True
# per_point_ok=True (max|diff|=4.05e-10, tol=0.2)
# amplitude_ratio_meas=0.9000 (pre-registered 0.9, tol=0.05, ok=True)
# bounds_protocol_ok=True (w_min=0.6495, w_max=1.3894)
# bounds_saturation_ok=True (ltp_w=2.0, ltd_w=0.0, w_max=2.0)
# deterministic_ok=True
# stp_regression_pass=True (max_abs_diff_mv=4.89e-06)
# three_factor_smoke_ok=True (dW_M1=0.0001, dW_M0=0.0)
# network_interface_ok=True
