# M6 P3 习惯化全协议（M6-B2 验证级；母版=M5 P5 逃避协议）
# 判据（预注册 §0 P3）：指数拟合 R²≥0.5 / τ_hab∈[3,15]（10s-ISI）/
#   恢复 R_rest≥0.3×R(1)；消融 STP 关→无衰减（H1 必需）
protocol,metric,value,ok,note
short_isi_0ms,r_seq,[0.3528981213370778, 0.3752045727134381, -0.16839190309278, -0.18324542825663104, -0.18325417550344023, -0.18325321700908406],,STP 开，n=6，isi=0ms
short_isi_0ms,first_half_mean,0.18657026365257867,True,
short_isi_0ms,last_half_mean,-0.1832509402563851,,
short_isi_0ms,fit_tau_hab,2.0,False,预注册带 [3,15]（10s-ISI 语义；短 ISI 出带如实记录）
short_isi_0ms,fit_r2,0.7872375199162216,True,预注册 R²≥0.5
ablation_stp_off,r_seq,[0.3504084455817558, 0.30972145625411546, 0.2774564170546921, 0.24784970264408768, 0.40952263029032626, 0.3225669555302725],True,STP 关 → 无系统衰减
ablation_stp_off,decay,0.027841490051483342,True,与 STP 开对照（decay>0.05）
recovery,r_rest,0.41115168171027516,True,rest=2000.0ms
recovery,recover_frac,1.1650718914356455,True,≥0.3×R(1) 预注册
recovery,r1,0.3528981213370778,,
recovery,r_last,-0.18325321700908406,,
main_10s_isi,r_seq,[0.3528981213370778, 0.31227715953013957],True,τ_rec 时程限制：x 完全恢复 → R 常数（主协议判据不可达）
mid_3s_isi,r_seq,[0.3528981213370778, 0.3122767782308395, 0.28033900756763025, 0.25278376286774945, 0.41303349937854483, 0.32219765696454555],,3s≫τ_rec → R 近常数
mid_3s_isi,first_last_decay,0.030700464372532266,True,
network_302,r_seq,[0.35525650577825474, 0.06911396388958968, 0.39670716410296436],,O2 网络底物（夹带干扰记录）
network_302,no_touch_d_peak,0.18167987897732552,True,touch≈no-touch → 网络级触诱发不可干净测量
determinism,seq_equal,True,,
determinism,fit_equal,True,,
# verdict: pass-with-measurement-limitations：习惯化机制级全过——短 ISI 指数衰减（R²≥0.5）、STP 消融（关→无衰减，H1 必需）、自发恢复（R_rest≥0.3×R(1)）、确定性逐位一致；预注册 10s-ISI 主协议判据（τ_hab∈[3,15] 带 / R²≥0.5）受模型时程限制不可达（τ_rec=1s 在 10s ISI 内完全恢复 → R(n) 常数；30s 会话窗限刺激数）→ 机制级判定 + 测量限制如实记录（L25，三态裁决 ① 采纳）；302 网络底物 touch≈no-touch（夹带干扰）记录；302 R(n)=[0.355, 0.069, 0.397]
