# M6 P1 STDP 理论标准表（文献理论曲线；B1b 预生成，validate_p1_stdp.py）
# ΔW_rel(Δt) = A₊·exp(−Δt/τ₊)（Δt>0，LTP 窗）/ −A₋·exp(Δt/τ₋)（Δt<0，LTD 窗）
# 参数：τ₊=20.0ms τ₋=20.0ms A₊=0.01·w0 A₋=0.009·w0 (A₋/A₊=0.9) w0=1.0 w_max=2.0（定稿：m6_learning_params.csv stdp 段）
dt_ms,dW_rel_theory,window
-60.0,-0.0004480836,LTD
-59.0,-0.0004710574,LTD
-58.0,-0.0004952090,LTD
-57.0,-0.0005205989,LTD
-56.0,-0.0005472906,LTD
-55.0,-0.0005753508,LTD
-54.0,-0.0006048496,LTD
-53.0,-0.0006358609,LTD
-52.0,-0.0006684622,LTD
-51.0,-0.0007027350,LTD
-50.0,-0.0007387650,LTD
-49.0,-0.0007766423,LTD
-48.0,-0.0008164616,LTD
-47.0,-0.0008583225,LTD
-46.0,-0.0009023296,LTD
-45.0,-0.0009485930,LTD
-44.0,-0.0009972284,LTD
-43.0,-0.0010483574,LTD
-42.0,-0.0011021079,LTD
-41.0,-0.0011586141,LTD
-40.0,-0.0012180175,LTD
-39.0,-0.0012804666,LTD
-38.0,-0.0013461176,LTD
-37.0,-0.0014151345,LTD
-36.0,-0.0014876900,LTD
-35.0,-0.0015639655,LTD
-34.0,-0.0016441517,LTD
-33.0,-0.0017284492,LTD
-32.0,-0.0018170687,LTD
-31.0,-0.0019102318,LTD
-30.0,-0.0020081714,LTD
-29.0,-0.0021111326,LTD
-28.0,-0.0022193727,LTD
-27.0,-0.0023331623,LTD
-26.0,-0.0024527861,LTD
-25.0,-0.0025785432,LTD
-24.0,-0.0027107479,LTD
-23.0,-0.0028497309,LTD
-22.0,-0.0029958398,LTD
-21.0,-0.0031494397,LTD
-20.0,-0.0033109150,LTD
-19.0,-0.0034806692,LTD
-18.0,-0.0036591269,LTD
-17.0,-0.0038467344,LTD
-16.0,-0.0040439607,LTD
-15.0,-0.0042512990,LTD
-14.0,-0.0044692677,LTD
-13.0,-0.0046984120,LTD
-12.0,-0.0049393047,LTD
-11.0,-0.0051925483,LTD
-10.0,-0.0054587759,LTD
-9.0,-0.0057386534,LTD
-8.0,-0.0060328804,LTD
-7.0,-0.0063421928,LTD
-6.0,-0.0066673640,LTD
-5.0,-0.0070092070,LTD
-4.0,-0.0073685768,LTD
-3.0,-0.0077463718,LTD
-2.0,-0.0081435368,LTD
-1.0,-0.0085610648,LTD
1.0,0.0095122942,LTP
2.0,0.0090483742,LTP
3.0,0.0086070798,LTP
4.0,0.0081873075,LTP
5.0,0.0077880078,LTP
6.0,0.0074081822,LTP
7.0,0.0070468809,LTP
8.0,0.0067032005,LTP
9.0,0.0063762815,LTP
10.0,0.0060653066,LTP
11.0,0.0057694981,LTP
12.0,0.0054881164,LTP
13.0,0.0052204578,LTP
14.0,0.0049658530,LTP
15.0,0.0047236655,LTP
16.0,0.0044932896,LTP
17.0,0.0042741493,LTP
18.0,0.0040656966,LTP
19.0,0.0038674102,LTP
20.0,0.0036787944,LTP
21.0,0.0034993775,LTP
22.0,0.0033287108,LTP
23.0,0.0031663677,LTP
24.0,0.0030119421,LTP
25.0,0.0028650480,LTP
26.0,0.0027253179,LTP
27.0,0.0025924026,LTP
28.0,0.0024659696,LTP
29.0,0.0023457029,LTP
30.0,0.0022313016,LTP
31.0,0.0021224797,LTP
32.0,0.0020189652,LTP
33.0,0.0019204991,LTP
34.0,0.0018268352,LTP
35.0,0.0017377394,LTP
36.0,0.0016529889,LTP
37.0,0.0015723717,LTP
38.0,0.0014956862,LTP
39.0,0.0014227407,LTP
40.0,0.0013533528,LTP
41.0,0.0012873490,LTP
42.0,0.0012245643,LTP
43.0,0.0011648416,LTP
44.0,0.0011080316,LTP
45.0,0.0010539922,LTP
46.0,0.0010025884,LTP
47.0,0.0009536916,LTP
48.0,0.0009071795,LTP
49.0,0.0008629359,LTP
50.0,0.0008208500,LTP
51.0,0.0007808167,LTP
52.0,0.0007427358,LTP
53.0,0.0007065121,LTP
54.0,0.0006720551,LTP
55.0,0.0006392786,LTP
56.0,0.0006081006,LTP
57.0,0.0005784432,LTP
58.0,0.0005502322,LTP
59.0,0.0005233971,LTP
60.0,0.0004978707,LTP
