# M7 机制回迁——先天机制模块唯一定稿参数源（M7-B1a 执行节点创建）
# 用途：P-A1 机制提取与封装（InnateMechanism 行为级模块）的唯一参数源；
#       模块只读本 CSV 不硬编码（位置解析沿用 M5 L23 惯例：value 在 fields[9]）。
# 列：role(机制名), neuron_class(参数名), synapse_from, synapse_to, synapse_type,
#     g_max_ns, delay_ms, tonic_uA_cm2, value, note
# 纪律：全部参数从 M3–M6 冻结 CSV（m3_reflex_params/m4_chemotaxis_params/
#       m5_behavior_reference/m5_worm_params/m6_learning_params）**提取**，
#       不重新训练/校准（清单 §2.1 封装原则 + L2 锚）；行为量等价锚
#       （M3 D_peak 带 / M4 CI / M5 节律带 / M6 Δw·R²）取自冻结报告数值。
role,neuron_class,synapse_from,synapse_to,synapse_type,g_max_ns,delay_ms,tonic_uA_cm2,value,note
# ---------------- M-1 触觉反射弧（ReflexArcMechanism）----------------
# 来源：data/m3_reflex_params.csv（param 行）+ M3 定稿 D_peak 带 +
#       data/m5_behavior_reference.csv escape 行 + M5 302 冻结逃避数值。
reflex,d_peak_base,,,,,,,,0.360,M3 定稿 D_peak 带 [0.352,0.369] 中点（行为级锚；基准触刺激 I=1.0 → D_peak=0.360）
reflex,d_peak_thr,,,,,,,,0.3,方向判据阈值（behavior_reference escape.direction_peak；D_peak>0.3 → back）
reflex,d_peak_max,,,,,,,,0.610,M5 302 D4 定稿逃避 D_peak（饱和上界；d_peak(I)=d_max·I/(I+i_half)）
reflex,i_half,,,,,,,,0.694,饱和曲线半强度（由 d_peak(1.0)=d_peak_base 反解：i_half=d_max/d_base−1；确定性锚）
reflex,muscle_w_back,,,,,,,,0.60,m3 muscle 行（informational：C_back 收缩增量 w）
reflex,muscle_w_fwd,,,,,,,,0.18,m3 muscle 行（informational：C_fwd 收缩增量 w）
reflex,muscle_tau_ms,,,,,,,,20.0,m3 muscle_tau（informational）
reflex,touch_start_ms,,,,,,,,50.0,m3 param 行（协议信息）
reflex,touch_dur_ms,,,,,,,,5.0,m3 param 行（协议信息）
reflex,i0_uA_cm2,,,,,,,,60.0,m3 param 行（基准触刺激密度）
reflex,nerve_latency_ms,,,,,,,,10.0,M3 实测神经潜伏期 8–14ms 中值（点档结构性偏快记录见 M5 L22）
reflex,behavior_latency_ms,,,,,,,,32.6,M5 302 冻结行为潜伏期 32.633ms∈[30,50]（Chalfie 1985 带）
# ---------------- M-2 嗅觉趋化（ChemotaxisMechanism）----------------
# 来源：data/m4_chemotaxis_params.csv（env/body/protocol 行）+ data/m5_behavior_reference.csv。
chemotaxis,arena_L,,,,,,,,10.0,方形培养皿边长（m4 env）
