synapse_from,synapse_to,synapse_type,neurotransmitter,receptor,g_max_ns,delay_ms,weight,note
29,4103336,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
29,16795524,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
29,16795838,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
40045,3712893,chem,cholinergic,ampa,5.00,0.50,2,子图 AWC 嗅觉 内部化学连接
40045,5261424,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
40045,6451332,chem,cholinergic,ampa,5.00,0.50,5,子图 AWC 嗅觉 内部化学连接
40045,7107433,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
40045,7865652,chem,cholinergic,ampa,5.00,0.50,72,子图 AWC 嗅觉 内部化学连接
40045,8276782,chem,cholinergic,ampa,5.00,0.50,5,子图 AWC 嗅觉 内部化学连接
40045,8480221,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
40045,11543212,chem,cholinergic,ampa,5.00,0.50,8,子图 AWC 嗅觉 内部化学连接
40045,12225666,chem,cholinergic,ampa,5.00,0.50,11,子图 AWC 嗅觉 内部化学连接
2439134,14313750,chem,other,none,5.00,0.50,25,子图 AWC 嗅觉 内部化学连接
2568465,2568465,chem,cholinergic,ampa,5.00,0.50,3,子图 AWC 嗅觉 内部化学连接
2568465,3450751,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2568465,19298625,chem,cholinergic,ampa,5.00,0.50,2,子图 AWC 嗅觉 内部化学连接
2568522,17036132,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2571761,3538129,chem,cholinergic,ampa,5.00,0.50,4,子图 AWC 嗅觉 内部化学连接
2571761,4119387,chem,cholinergic,ampa,5.00,0.50,4,子图 AWC 嗅觉 内部化学连接
2571761,4324898,chem,cholinergic,ampa,5.00,0.50,6,子图 AWC 嗅觉 内部化学连接
2571761,4679139,chem,cholinergic,ampa,5.00,0.50,6,子图 AWC 嗅觉 内部化学连接
2571761,8243455,chem,cholinergic,ampa,5.00,0.50,111,子图 AWC 嗅觉 内部化学连接
2571761,8244723,chem,cholinergic,ampa,5.00,0.50,3,子图 AWC 嗅觉 内部化学连接
2571761,8245014,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2571761,11279244,chem,cholinergic,ampa,5.00,0.50,3,子图 AWC 嗅觉 内部化学连接
2571761,14604028,chem,cholinergic,ampa,5.00,0.50,11,子图 AWC 嗅觉 内部化学连接
2571761,16515871,chem,cholinergic,ampa,5.00,0.50,19,子图 AWC 嗅觉 内部化学连接
2582391,4119387,chem,cholinergic,ampa,5.00,0.50,2,子图 AWC 嗅觉 内部化学连接
2582391,8243455,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2582391,8245692,chem,cholinergic,ampa,5.00,0.50,2,子图 AWC 嗅觉 内部化学连接
2582391,8252067,chem,cholinergic,ampa,5.00,0.50,41,子图 AWC 嗅觉 内部化学连接
2582391,10167078,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2582391,10990803,chem,cholinergic,ampa,5.00,0.50,3,子图 AWC 嗅觉 内部化学连接
2582391,11279244,chem,cholinergic,ampa,5.00,0.50,3,子图 AWC 嗅觉 内部化学连接
2582391,16515871,chem,cholinergic,ampa,5.00,0.50,46,子图 AWC 嗅觉 内部化学连接
2582391,16795524,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2584838,3712893,chem,cholinergic,ampa,5.00,0.50,3,子图 AWC 嗅觉 内部化学连接
2584838,3958234,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2584838,4119387,chem,cholinergic,ampa,5.00,0.50,25,子图 AWC 嗅觉 内部化学连接
2584838,4324898,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2584838,4700078,chem,cholinergic,ampa,5.00,0.50,37,子图 AWC 嗅觉 内部化学连接
2584838,7503199,chem,cholinergic,ampa,5.00,0.50,16,子图 AWC 嗅觉 内部化学连接
2584838,8246081,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2584838,8252067,chem,cholinergic,ampa,5.00,0.50,2,子图 AWC 嗅觉 内部化学连接
2584838,8256186,chem,cholinergic,ampa,5.00,0.50,91,子图 AWC 嗅觉 内部化学连接
2584838,11543212,chem,cholinergic,ampa,5.00,0.50,8,子图 AWC 嗅觉 内部化学连接
2608843,4119387,chem,cholinergic,ampa,5.00,0.50,15,子图 AWC 嗅觉 内部化学连接
2608843,4700078,chem,cholinergic,ampa,5.00,0.50,4,子图 AWC 嗅觉 内部化学连接
2608843,8140109,chem,cholinergic,ampa,5.00,0.50,4,子图 AWC 嗅觉 内部化学连接
2608843,8244723,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2608843,8245692,chem,cholinergic,ampa,5.00,0.50,95,子图 AWC 嗅觉 内部化学连接
2608843,10990803,chem,cholinergic,ampa,5.00,0.50,4,子图 AWC 嗅觉 内部化学连接
2608843,16515871,chem,cholinergic,ampa,5.00,0.50,28,子图 AWC 嗅觉 内部化学连接
2610744,2612527,chem,other,none,5.00,0.50,2,子图 AWC 嗅觉 内部化学连接
2610744,3450442,chem,other,none,5.00,0.50,5,子图 AWC 嗅觉 内部化学连接
2610744,8276782,chem,other,none,5.00,0.50,6,子图 AWC 嗅觉 内部化学连接
2610744,8480221,chem,other,none,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2610744,8704079,chem,other,none,5.00,0.50,3,子图 AWC 嗅觉 内部化学连接
2610744,12225666,chem,other,none,5.00,0.50,10,子图 AWC 嗅觉 内部化学连接
2610744,16795524,chem,other,none,5.00,0.50,13,子图 AWC 嗅觉 内部化学连接
2610744,16795838,chem,other,none,5.00,0.50,7,子图 AWC 嗅觉 内部化学连接
2611805,3450442,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2611805,3486381,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2611805,7864823,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2611805,7865696,chem,cholinergic,ampa,5.00,0.50,47,子图 AWC 嗅觉 内部化学连接
2611805,7865767,chem,cholinergic,ampa,5.00,0.50,9,子图 AWC 嗅觉 内部化学连接
2611805,7873135,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2611805,8276782,chem,cholinergic,ampa,5.00,0.50,4,子图 AWC 嗅觉 内部化学连接
2611805,8480221,chem,cholinergic,ampa,5.00,0.50,8,子图 AWC 嗅觉 内部化学连接
2611805,8509534,chem,cholinergic,ampa,5.00,0.50,37,子图 AWC 嗅觉 内部化学连接
2611805,11543212,chem,cholinergic,ampa,5.00,0.50,2,子图 AWC 嗅觉 内部化学连接
2611805,12225666,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2611805,12617396,chem,cholinergic,ampa,5.00,0.50,2,子图 AWC 嗅觉 内部化学连接
2611805,16795524,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2611805,16795838,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2612527,2612527,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2612527,7934904,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2612527,8509534,chem,cholinergic,ampa,5.00,0.50,2,子图 AWC 嗅觉 内部化学连接
2612527,9971209,chem,cholinergic,ampa,5.00,0.50,5,子图 AWC 嗅觉 内部化学连接
2612527,10990803,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2612527,11123016,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2612527,16795838,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
2612527,19298625,chem,cholinergic,ampa,5.00,0.50,4,子图 AWC 嗅觉 内部化学连接
3002410,3690921,chem,cholinergic,ampa,5.00,0.50,4,子图 AWC 嗅觉 内部化学连接
3002410,3756659,chem,cholinergic,ampa,5.00,0.50,1,子图 AWC 嗅觉 内部化学连接
3158543,3712893,chem,cholinergic,ampa,5.00,0.50,10,子图 AWC 嗅觉 内部化学连接
