synapse_from,synapse_to,synapse_type,neurotransmitter,receptor,g_max_ns,delay_ms,weight,note
1042538,1141813,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
1042538,1690576,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1042538,2511238,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1042538,2881070,chem,other,none,5.00,0.50,15,子图 MD 痛觉 内部化学连接
1042538,4128002,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
1042538,4393350,chem,other,none,5.00,0.50,18,子图 MD 痛觉 内部化学连接
1042538,5108525,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1042538,6692908,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
1042538,8229118,chem,other,none,5.00,0.50,12,子图 MD 痛觉 内部化学连接
1042538,8412625,chem,other,none,5.00,0.50,9,子图 MD 痛觉 内部化学连接
1042538,8697453,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1042538,8805777,chem,other,none,5.00,0.50,18,子图 MD 痛觉 内部化学连接
1042538,8821758,chem,other,none,5.00,0.50,12,子图 MD 痛觉 内部化学连接
1042538,9051500,chem,other,none,5.00,0.50,15,子图 MD 痛觉 内部化学连接
1042538,9161929,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
1042538,9241349,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
1042538,9507904,chem,other,none,5.00,0.50,11,子图 MD 痛觉 内部化学连接
1042538,9530532,chem,other,none,5.00,0.50,62,子图 MD 痛觉 内部化学连接
1042538,9621307,chem,other,none,5.00,0.50,10,子图 MD 痛觉 内部化学连接
1042538,9637388,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1042538,9720614,chem,other,none,5.00,0.50,11,子图 MD 痛觉 内部化学连接
1042538,10079731,chem,other,none,5.00,0.50,8,子图 MD 痛觉 内部化学连接
1042538,10198121,chem,other,none,5.00,0.50,7,子图 MD 痛觉 内部化学连接
1042538,17360254,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
1042538,17654624,chem,other,none,5.00,0.50,8,子图 MD 痛觉 内部化学连接
1141813,1042538,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1141813,2881070,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1141813,3862443,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1141813,4393350,chem,other,none,5.00,0.50,7,子图 MD 痛觉 内部化学连接
1141813,6692908,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1141813,8229118,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1141813,9507904,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
1141813,9530532,chem,other,none,5.00,0.50,7,子图 MD 痛觉 内部化学连接
1141813,9637388,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
1141813,11361875,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1141813,18655517,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1690576,2619565,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
1690576,3093284,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1690576,4393350,chem,other,none,5.00,0.50,8,子图 MD 痛觉 内部化学连接
1690576,5691934,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1690576,5744058,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1690576,5750884,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1690576,6723364,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
1690576,10893103,chem,other,none,5.00,0.50,7,子图 MD 痛觉 内部化学连接
1690576,10982951,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1690576,11263687,chem,other,none,5.00,0.50,12,子图 MD 痛觉 内部化学连接
1690576,11291653,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1690576,12325227,chem,other,none,5.00,0.50,20,子图 MD 痛觉 内部化学连接
1690576,14338439,chem,other,none,5.00,0.50,12,子图 MD 痛觉 内部化学连接
1690576,16485518,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
1690576,16490014,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
1690576,16541149,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
1690576,16594752,chem,other,none,5.00,0.50,43,子图 MD 痛觉 内部化学连接
1690576,17105977,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
1690576,17108278,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
1690576,17360254,chem,other,none,5.00,0.50,12,子图 MD 痛觉 内部化学连接
1690576,17729410,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
1690576,17729424,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
1690576,20343986,chem,other,none,5.00,0.50,11,子图 MD 痛觉 内部化学连接
1690576,21220994,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2511238,1141813,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2511238,2816457,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2511238,2881070,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2511238,3862443,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
2511238,4393350,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2511238,5762666,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2511238,6692908,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2511238,8229118,chem,other,none,5.00,0.50,18,子图 MD 痛觉 内部化学连接
2511238,8412625,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2511238,8697453,chem,other,none,5.00,0.50,11,子图 MD 痛觉 内部化学连接
2511238,8805777,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2511238,8821758,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2511238,8939384,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2511238,8970595,chem,other,none,5.00,0.50,13,子图 MD 痛觉 内部化学连接
2511238,9051500,chem,other,none,5.00,0.50,7,子图 MD 痛觉 内部化学连接
2511238,9161929,chem,other,none,5.00,0.50,8,子图 MD 痛觉 内部化学连接
2511238,9202326,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2511238,9241349,chem,other,none,5.00,0.50,7,子图 MD 痛觉 内部化学连接
2511238,9422291,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2511238,9507904,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2511238,9530532,chem,other,none,5.00,0.50,10,子图 MD 痛觉 内部化学连接
2511238,9621307,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2511238,9720614,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2511238,10079731,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
2511238,10198121,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2511238,10319019,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2511238,11361875,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2511238,17360254,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2511238,17654624,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
2511238,17777259,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2511238,20443420,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
2511238,20443598,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,1690576,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,2816457,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,4393350,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,4664256,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,5691934,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2619565,6633635,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
2619565,6723364,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,10893103,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2619565,10982951,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2619565,11263687,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
