synapse_from,synapse_to,synapse_type,neurotransmitter,receptor,g_max_ns,delay_ms,weight,note
858479,3797420,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
858479,4541081,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
858479,8154054,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
858479,8216541,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
865151,16588928,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
865151,17355892,chem,other,none,5.00,0.50,5,子图 运动命令 内部化学连接
865151,17359101,chem,other,none,5.00,0.50,7,子图 运动命令 内部化学连接
869360,869360,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
869360,3797420,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
869360,10865025,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
869360,17351780,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
869360,17359133,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
869360,19054481,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
992646,15599768,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1065967,5462159,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1065967,13557064,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1065967,14586769,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1065967,14621584,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1591270,1591270,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1591270,3814701,chem,other,none,5.00,0.50,8,子图 运动命令 内部化学连接
1591270,5675990,chem,other,none,5.00,0.50,6,子图 运动命令 内部化学连接
1591270,8159396,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1591270,8755914,chem,other,none,5.00,0.50,16,子图 运动命令 内部化学连接
1591270,10411574,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1591270,10523825,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1591270,11027071,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1591270,11073313,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1591270,12279909,chem,other,none,5.00,0.50,15,子图 运动命令 内部化学连接
