# M8 P4 自发行为分布（B2 全协议：300 two_comp T=30s N=10）
"# 判据带（m8_behavior_reference.csv 定稿）：run [60,85]% turn [10,30]% pause [3,20]% curl informational"
seed,run_frac,turn_frac,pause_frac,curl_frac,run_pct,turn_pct,pause_pct,curl_pct,wall_s
0,0.099166667,0.814166667,0.086666667,0.000000000,9.917,81.417,8.667,0.000,120.4
1,0.099166667,0.814166667,0.086666667,0.000000000,9.917,81.417,8.667,0.000,122.4
2,0.099166667,0.814166667,0.086666667,0.000000000,9.917,81.417,8.667,0.000,120.0
3,0.099166667,0.814166667,0.086666667,0.000000000,9.917,81.417,8.667,0.000,119.4
4,0.099166667,0.814166667,0.086666667,0.000000000,9.917,81.417,8.667,0.000,119.0
5,0.099166667,0.814166667,0.086666667,0.000000000,9.917,81.417,8.667,0.000,116.5
6,0.099166667,0.814166667,0.086666667,0.000000000,9.917,81.417,8.667,0.000,116.5
7,0.099166667,0.814166667,0.086666667,0.000000000,9.917,81.417,8.667,0.000,116.7
8,0.099166667,0.814166667,0.086666667,0.000000000,9.917,81.417,8.667,0.000,118.4
9,0.099166667,0.814166667,0.086666667,0.000000000,9.917,81.417,8.667,0.000,117.5

AGG,0.099166667,0.814166667,0.086666667,0.000000000,9.917,81.417,8.667,0.000,
