# M8 P5 气味联想学习（B1d 机制级 LI；300 档 two_comp 短协议）
# CS 对: AN-L-SENS-B1-ACA-01 + AN-L-SENS-B1-ACA-12
group,seed,li,dw,li_mode,mbon_rate_pre,mbon_rate_post,kc_rate_test,n_stdp_edges
paired,0,0.895270268,0.895270268,weight,78.666667,206.666667,349.333333,58
paired,1,0.895270268,0.895270268,weight,78.666667,206.666667,349.333333,58
paired,2,0.895270268,0.895270268,weight,78.666667,206.666667,349.333333,58
paired,3,0.895270268,0.895270268,weight,78.666667,206.666667,349.333333,58
paired,4,0.895270268,0.895270268,weight,78.666667,206.666667,349.333333,58
unpaired,0,0.103227839,0.103227839,weight,78.666667,417.333333,727.333333,58
unpaired,1,0.103227839,0.103227839,weight,78.666667,417.333333,727.333333,58
unpaired,2,0.103227839,0.103227839,weight,78.666667,417.333333,727.333333,58
unpaired,3,0.103227839,0.103227839,weight,78.666667,417.333333,727.333333,58
unpaired,4,0.103227839,0.103227839,weight,78.666667,417.333333,727.333333,58
eta0,0,0.000000000,0.000000000,weight,78.666667,512.000000,908.666667,58
h1_off,0,0.000000000,nan,no_plasticity,97.333333,448.000000,666.000000,0
