# M8 P5 气味联想学习（B2 全协议：300 two_comp，配对训练 N_train=3 × 双选测试 N_test=2）
# CS 对: AN-L-SENS-B1-ACA-01 + AN-L-SENS-B1-ACA-12
group,seed,li,li_pref,dw,li_trajectory,ext_trajectory,n_stdp_edges
paired,0,0.895270268,0.122666667,0.895270268,"[0.895270,0.895270,0.895270]",[],58
paired,1,0.895270268,0.122666667,0.895270268,"[0.895270,0.895270,0.895270]",[],58
paired,2,0.895270268,0.122666667,0.895270268,"[0.895270,0.895270,0.895270]",[],58
paired,3,0.895270268,0.122666667,0.895270268,"[0.895270,0.895270,0.895270]",[],58
paired,4,0.895270268,0.122666667,0.895270268,"[0.895270,0.895270,0.895270]",[],58
unpaired,0,0.229029208,0.180327869,0.229029208,"[0.103228,0.159782,0.229029]",[],58
unpaired,1,0.229029208,0.180327869,0.229029208,"[0.103228,0.159782,0.229029]",[],58
unpaired,2,0.229029208,0.180327869,0.229029208,"[0.103228,0.159782,0.229029]",[],58
unpaired,3,0.229029208,0.180327869,0.229029208,"[0.103228,0.159782,0.229029]",[],58
unpaired,4,0.229029208,0.180327869,0.229029208,"[0.103228,0.159782,0.229029]",[],58
eta0,0,0.000000000,-0.019178082,0.000000000,"[0.000000,0.000000,0.000000]",[],58
h1_off,0,0.000000000,0.000000000,nan,"[0.000000,0.000000,0.000000,0.000000]",[],0
extinction,0,0.895270268,0.122666667,0.895270268,"[0.895270,0.895270,0.895270]","[0.895270,0.895270,0.895270]",58
