# M8 P7 扰动预测（B2 全测：top-50 神经元沉默/激活）
rank,role,anchor_status,anchor_effect_class,n_silenced_edges,class_silence,class_activation,hit,d_fwd_mean,d_back_mean,d_turn_frac,d_pause_frac
1,PRE-GORO3 RIGHT,no-experiment,,7,无变化,转弯↑,,-0.0044,0.0000,0.0000,0.0000
2,AF5: SHORT-PRESYNAPTIC-D-1L,no-experiment,,15,无变化,无变化,,0.0000,0.0005,0.0125,0.0000
3,PRE PMN RIGHT,no-experiment,,6,无变化,转弯↑,,0.0000,0.0000,0.0000,0.0000
4,PRE-DORSAL-MAP PRESYNAPTIC-D-2-R LEFT,no-experiment,,13,无变化,后退↑,,0.0000,0.0000,0.0000,0.0000
5,L1: SHORT-PRESYNAPTICD-3-R,no-experiment,,14,无变化,无变化,,0.0000,-0.0016,0.0000,0.0000
6,TOMATO VINE 2_RIGHT,no-experiment,,6,无变化,转弯↑,,0.0000,0.0000,0.0000,0.0000
7,VB: DPMM1 4_RIGHT,no-experiment,,6,无变化,无变化,,-0.0001,-0.0285,-0.0125,0.0000
8,CP4 8 RIGHT,no-experiment,,10,无变化,无变化,,0.0000,0.0000,0.0000,0.0000
9,AF5: SHORT-PRESYNAPTIC-D-1R,no-experiment,,8,无变化,无变化,,-0.0038,0.0000,0.0000,0.0000
10,BLDC A00C POINTER RIGHT,no-experiment,,12,无变化,无变化,,0.0000,0.0000,0.0000,0.0000
11,LOCAL CRESCENT RIGHT,no-experiment,,8,无变化,无变化,,0.0000,0.0000,0.0000,0.0000
12,CONTRA-VINE RIGHT,no-experiment,,5,无变化,前进↑,,0.0000,0.0000,0.0000,0.0000
13,VB: DPMM1 4_LEFT,no-experiment,,7,无变化,无变化,,0.0000,-0.0106,0.0000,0.0000
14,MB2IN-162 LEFT; PDLR,no-experiment,,10,无变化,无变化,,0.0000,0.0000,0.0000,0.0000
15,BLAL HORSESHOE NEURON RIGHT,no-experiment,,3,无变化,无变化,,0.0000,0.0000,0.0000,0.0000
