# M8 P8 活动金标准（B1d）：逐角色发放率 + 荧光/活动态序列摘要
role,rate_hz,n_spikes,fluor_frame_mean,fluor_frame_max
130729_SFO CAND 42A-42B_OSN_IN1 LEFT,2.000000,6,2.565180,3.994685
22C ORN LEFT,0.000000,0,1.000000,1.000000
3RD THERMO RIGHT - ADL022,5.333333,16,5.094725,6.930753
42A PN LEFT,0.000000,0,1.000000,1.000000
A00C_A6L,0.000000,0,1.000000,1.000000
A00C_A6R,0.000000,0,1.000000,1.000000
AC ; DALCM12 M ANT MED 1_RIGHT,8.666667,26,7.547559,9.425079
AE:BAMD2 R BILATERAL_LEFT,0.000000,0,1.000000,1.000000
AF0: NEURON RIGHT,0.000000,0,1.000000,1.000000
AF2: PDLL2_RIGHT_SIBLING 35,8.666667,26,7.573095,9.457925
AF3 THERMO 3RD RIGHT,5.333333,16,5.097592,6.934906
AF5: SHORT-PRESYNAPTIC-D-1L,8.666667,26,7.552864,9.434201
AF5: SHORT-PRESYNAPTIC-D-1R,8.000000,24,6.889700,9.065322
AF6: MUNIN OUTPUT LEFT,5.333333,16,5.120340,6.967862
AF7: C SHAPED RIGHT,5.333333,16,5.098817,6.936726
AF8: PDL_RIGHT_SIBLING,0.000000,0,1.000000,1.000000
AF9: BRUSH RIGHT,5.333333,16,5.107233,6.948870
AF:UPTOLN2 SIBLING 35_RIGHT,5.333333,16,5.107381,6.949093
AN-L-SENS-B1-ACA-01,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-ACA-04,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-ACA-05,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-ACA-06,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-ACA-07,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-ACA-09,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-ACA-10,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-ACA-11,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-ACA-12,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-ACA-14,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-ACA-15,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-AVA-16,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-AVA-17,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-AVA-18,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-AVA-20,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-AVA-21,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-AVA-22,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-AVA-26,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-AVA-27,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-AVA-31,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-AVA-32,0.000000,0,1.000000,1.000000
AN-L-SENS-B1-AVA-40,0.000000,0,1.000000,1.000000
AN-L-SENS-B2-ACP-02,0.000000,0,1.000000,1.000000
AN-L-SENS-B2-ACP-17,0.000000,0,1.000000,1.000000
AN-L-SENS-B2-ACP-19,0.000000,0,1.000000,1.000000
AN-L-SENS-B2-AVA-24 (PPS MECHANO),0.000000,0,1.000000,1.000000
AN-L-SENS-B2-AVP-01,0.000000,0,1.000000,1.000000
AN-R-SENS-B1-ACA-02,0.000000,0,1.000000,1.000000
AN-R-SENS-B1-AVA-44,0.000000,0,1.000000,1.000000
AN: DPMLP LAR_LEFT,9.333333,28,7.823757,11.157708
ANOTHER UPPER COMISSURE PN RIGHT,0.000000,0,1.000000,1.000000
AS ; LEFT DAL NEURON L,9.333333,28,7.848260,11.197235
ASB TODO B1 RIGHT 8 FRAGMENT WITH SOMA,8.666667,26,7.573531,9.457729
AVM011F RIGHT,10.666667,32,8.411680,11.343089
BACKWARDS HANDLEBAR LEFT (LOOKS LIKE 35A),8.666667,26,7.544023,9.420389
BALA12 DESCENDING 1 LEFT,9.000000,27,8.019991,10.783365
BALA34 VENTRAL CLUSTER 1 RIGHT,9.000000,27,8.563015,13.085536
BAMAS LINEAGE NEURON RIGHT 2,8.000000,24,6.871575,9.041380
BAMAS SOG MBE1_L (ACBILIBLO (LEFT)),2.666667,8,2.819972,4.481609
BAMAS12 CONTRA LEFT; INTERNEURON--35 IN TOTAL,7.000000,21,4.512355,7.617384
BAMAS12 MIDLINE NEURON 1 LEFT,7.000000,21,4.676864,6.556861
BAMAS12 MIDLINE NEURON 2 RIGHT,4.000000,12,4.175948,6.075515
BAMAS12_DOR CENTER OUTPUT 1 RIGHT,4.000000,12,3.461287,6.761862
BLAD ANT MED 3 NEURON LEFT,0.000000,0,1.000000,1.000000
BLAL HORSESHOE NEURON RIGHT,8.000000,24,6.947783,8.628336
