# M8 P8 活动金标准（B2 全协议：300 two_comp T=30s）
# scale=300 fidelity=two_comp tag=300_two_comp_30s
tag,role,rate_hz,n_spikes
300_two_comp_30s,130729_SFO CAND 42A-42B_OSN_IN1 LEFT,5.800000,174
300_two_comp_30s,22C ORN LEFT,0.000000,0
300_two_comp_30s,3RD THERMO RIGHT - ADL022,3.466667,104
300_two_comp_30s,42A PN LEFT,0.000000,0
300_two_comp_30s,A00C_A6L,0.000000,0
300_two_comp_30s,A00C_A6R,0.000000,0
300_two_comp_30s,AC ; DALCM12 M ANT MED 1_RIGHT,7.400000,222
300_two_comp_30s,AE:BAMD2 R BILATERAL_LEFT,0.000000,0
300_two_comp_30s,AF0: NEURON RIGHT,0.000000,0
300_two_comp_30s,AF2: PDLL2_RIGHT_SIBLING 35,7.466667,224
300_two_comp_30s,AF3 THERMO 3RD RIGHT,5.800000,174
300_two_comp_30s,AF5: SHORT-PRESYNAPTIC-D-1L,7.333333,220
300_two_comp_30s,AF5: SHORT-PRESYNAPTIC-D-1R,7.466667,224
300_two_comp_30s,AF6: MUNIN OUTPUT LEFT,3.266667,98
300_two_comp_30s,AF7: C SHAPED RIGHT,2.933333,88
300_two_comp_30s,AF8: PDL_RIGHT_SIBLING,0.000000,0
300_two_comp_30s,AF9: BRUSH RIGHT,3.266667,98
300_two_comp_30s,AF:UPTOLN2 SIBLING 35_RIGHT,3.466667,104
300_two_comp_30s,AN-L-SENS-B1-ACA-01,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-ACA-04,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-ACA-05,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-ACA-06,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-ACA-07,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-ACA-09,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-ACA-10,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-ACA-11,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-ACA-12,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-ACA-14,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-ACA-15,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-AVA-16,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-AVA-17,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-AVA-18,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-AVA-20,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-AVA-21,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-AVA-22,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-AVA-26,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-AVA-27,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-AVA-31,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-AVA-32,0.000000,0
300_two_comp_30s,AN-L-SENS-B1-AVA-40,0.000000,0
300_two_comp_30s,AN-L-SENS-B2-ACP-02,0.000000,0
300_two_comp_30s,AN-L-SENS-B2-ACP-17,0.000000,0
300_two_comp_30s,AN-L-SENS-B2-ACP-19,0.000000,0
300_two_comp_30s,AN-L-SENS-B2-AVA-24 (PPS MECHANO),0.000000,0
300_two_comp_30s,AN-L-SENS-B2-AVP-01,0.000000,0
300_two_comp_30s,AN-R-SENS-B1-ACA-02,0.000000,0
300_two_comp_30s,AN-R-SENS-B1-AVA-44,0.000000,0
300_two_comp_30s,AN: DPMLP LAR_LEFT,7.600000,228
300_two_comp_30s,ANOTHER UPPER COMISSURE PN RIGHT,0.000000,0
300_two_comp_30s,AS ; LEFT DAL NEURON L,7.533333,226
300_two_comp_30s,ASB TODO B1 RIGHT 8 FRAGMENT WITH SOMA,7.133333,214
300_two_comp_30s,AVM011F RIGHT,11.000000,330
300_two_comp_30s,BACKWARDS HANDLEBAR LEFT (LOOKS LIKE 35A),7.400000,222
300_two_comp_30s,BALA12 DESCENDING 1 LEFT,5.900000,177
300_two_comp_30s,BALA34 VENTRAL CLUSTER 1 RIGHT,5.900000,177
300_two_comp_30s,BAMAS LINEAGE NEURON RIGHT 2,7.400000,222
300_two_comp_30s,BAMAS SOG MBE1_L (ACBILIBLO (LEFT)),4.066667,122
300_two_comp_30s,BAMAS12 CONTRA LEFT; INTERNEURON--35 IN TOTAL,6.000000,180
300_two_comp_30s,BAMAS12 MIDLINE NEURON 1 LEFT,5.900000,177
300_two_comp_30s,BAMAS12 MIDLINE NEURON 2 RIGHT,5.900000,177
300_two_comp_30s,BAMAS12_DOR CENTER OUTPUT 1 RIGHT,5.900000,177
300_two_comp_30s,BLAD ANT MED 3 NEURON LEFT,0.266667,8
300_two_comp_30s,BLAL HORSESHOE NEURON RIGHT,7.533333,226
300_two_comp_30s,BLAV12_LAT POINTER-LIKE RIGHT,0.000000,0
300_two_comp_30s,BLDA B 6_FROM ANOTHER TEMP PN (DS5TH-2) LEFT,0.000000,0
300_two_comp_30s,BLDA B 6_FROM ANOTHER TEMP PN (DS5TH-2) RIGHT,6.266667,188
300_two_comp_30s,BLDC A00C POINTER RIGHT,0.000000,0
300_two_comp_30s,BLDC DESCENDING 1 RIGHT; BPL FEEDBACK LOCAL R,0.000000,0
300_two_comp_30s,BLDC POINTER RIGHT,0.000000,0
300_two_comp_30s,BLP POST VEN NEURON 1 RIGHT; BLP34 A 6,0.000000,0
300_two_comp_30s,BLP12 CLAW 1 LEFT,0.000000,0
300_two_comp_30s,BLP34 BILATERAL 2 RIGHT,4.000000,120
300_two_comp_30s,BLP34 DESCENDING 3 RIGHT,0.333333,10
300_two_comp_30s,BLP34 DESCENDING 5 RIGHT,0.000000,0
300_two_comp_30s,BLP34 HOOK 1 RIGHT,0.000000,0
300_two_comp_30s,BLP34 LATERAL RIGHT,0.000000,0
300_two_comp_30s,BLP34 LOCAL RIGHT,0.000000,0
300_two_comp_30s,BLP34 LOOPER 2 LEFT; RIGHT_CPLD,0.000000,0
300_two_comp_30s,BLP34 LOOPER 2 RIGHT,0.000000,0
300_two_comp_30s,BLVA ASCENDING 1 RIGHT; DL-LH_CAND3_NO,0.000000,0
300_two_comp_30s,BLVA HOOK 1 RIGHT,0.000000,0
300_two_comp_30s,BLVA12 LOCAL RIGHT; DL-LH_CAND4; BLVA12 A 6 (WRONG CONNECTION),0.000000,0
300_two_comp_30s,BLVA12 TRIPARTITE RIGHT; F14: PVL005 - 1 RIGHT?,0.066667,2
