# M8 P7 扰动预测计划（预注册，确定性生成；seed=0，名单定稿不事后改）
# 选择规则：①命令样/下行（command=1.0）②连接度枢纽（hub_pct=子集内度分位）③实验可及性（access：MD=1.0/skid=0.6/celltype=0.3）
# total = 1.0*command + 0.5*hub_pct + 0.3*access；平局按 role_index（确定性算法，无随机性）
# 行为后果类阈值（预注册）：Δfrac 阈值 fwd/back/turn/pause/curl=0.05；curl 通道在 provisional 肌肉映射不存在 → 蜷缩↑ 结构性不可达（记录）
# 激活：tonic 0.5 nA × 2000.0 ms；沉默：出边 gmax→0（M6 L15：整体重建数组）
rank,role,neuron_class,celltype,region,skid,degree,command,hub_pct,access,total,anchor_status,anchor_effect_class,anchor_source,silence_protocol,activation_protocol
1,PRE-GORO3 RIGHT,motor,DN-VNC,brain,3620633,27,1.00,0.9133,0.90,1.7267,no-experiment,,无逐神经元驱动线锚（B1d 网络受限，预注册回退 §0.7 #4）,出边 gmax→0（M6 L15：整体重建数组）,tonic 0.5 nA × 2000.0 ms
2,AF5: SHORT-PRESYNAPTIC-D-1L,inter,pre-DN-VNC,brain,3158085,26,1.00,0.9000,0.90,1.7200,no-experiment,,无逐神经元驱动线锚（B1d 网络受限，预注册回退 §0.7 #4）,出边 gmax→0（M6 L15：整体重建数组）,tonic 0.5 nA × 2000.0 ms
3,PRE PMN RIGHT,motor,DN-SEZ,brain,3436420,23,1.00,0.8667,0.90,1.7033,no-experiment,,无逐神经元驱动线锚（B1d 网络受限，预注册回退 §0.7 #4）,出边 gmax→0（M6 L15：整体重建数组）,tonic 0.5 nA × 2000.0 ms
4,PRE-DORSAL-MAP PRESYNAPTIC-D-2-R LEFT,inter,pre-DN-SEZ,brain,2142817,21,1.00,0.8367,0.90,1.6883,no-experiment,,无逐神经元驱动线锚（B1d 网络受限，预注册回退 §0.7 #4）,出边 gmax→0（M6 L15：整体重建数组）,tonic 0.5 nA × 2000.0 ms
5,L1: SHORT-PRESYNAPTICD-3-R,inter,pre-DN-VNC,brain,3276003,19,1.00,0.8133,0.90,1.6767,no-experiment,,无逐神经元驱动线锚（B1d 网络受限，预注册回退 §0.7 #4）,出边 gmax→0（M6 L15：整体重建数组）,tonic 0.5 nA × 2000.0 ms
6,TOMATO VINE 2_RIGHT,motor,DN-SEZ,brain,3027876,19,1.00,0.8133,0.90,1.6767,no-experiment,,无逐神经元驱动线锚（B1d 网络受限，预注册回退 §0.7 #4）,出边 gmax→0（M6 L15：整体重建数组）,tonic 0.5 nA × 2000.0 ms
7,VB: DPMM1 4_RIGHT,inter,pre-DN-VNC,brain,8572353,16,1.00,0.7800,0.90,1.6600,no-experiment,,无逐神经元驱动线锚（B1d 网络受限，预注册回退 §0.7 #4）,出边 gmax→0（M6 L15：整体重建数组）,tonic 0.5 nA × 2000.0 ms
8,CP4 8 RIGHT,inter,pre-DN-VNC,brain,1868538,16,1.00,0.7800,0.90,1.6600,no-experiment,,无逐神经元驱动线锚（B1d 网络受限，预注册回退 §0.7 #4）,出边 gmax→0（M6 L15：整体重建数组）,tonic 0.5 nA × 2000.0 ms
9,AF5: SHORT-PRESYNAPTIC-D-1R,inter,pre-DN-VNC,brain,2597151,15,1.00,0.7567,0.90,1.6483,no-experiment,,无逐神经元驱动线锚（B1d 网络受限，预注册回退 §0.7 #4）,出边 gmax→0（M6 L15：整体重建数组）,tonic 0.5 nA × 2000.0 ms
10,BLDC A00C POINTER RIGHT,inter,PN-somato,brain,2881070,14,1.00,0.7233,0.90,1.6317,no-experiment,,无逐神经元驱动线锚（B1d 网络受限，预注册回退 §0.7 #4）,出边 gmax→0（M6 L15：整体重建数组）,tonic 0.5 nA × 2000.0 ms
11,LOCAL CRESCENT RIGHT,inter,PN-somato,brain,4130960,13,1.00,0.6800,0.90,1.6100,no-experiment,,无逐神经元驱动线锚（B1d 网络受限，预注册回退 §0.7 #4）,出边 gmax→0（M6 L15：整体重建数组）,tonic 0.5 nA × 2000.0 ms
12,CONTRA-VINE RIGHT,motor,DN-SEZ,brain,3498479,13,1.00,0.6800,0.90,1.6100,no-experiment,,无逐神经元驱动线锚（B1d 网络受限，预注册回退 §0.7 #4）,出边 gmax→0（M6 L15：整体重建数组）,tonic 0.5 nA × 2000.0 ms
13,VB: DPMM1 4_LEFT,inter,pre-DN-VNC,brain,10872426,12,1.00,0.6633,0.90,1.6017,no-experiment,,无逐神经元驱动线锚（B1d 网络受限，预注册回退 §0.7 #4）,出边 gmax→0（M6 L15：整体重建数组）,tonic 0.5 nA × 2000.0 ms
14,MB2IN-162 LEFT; PDLR,inter,pre-DN-VNC,brain,2438653,12,1.00,0.6633,0.90,1.6017,no-experiment,,无逐神经元驱动线锚（B1d 网络受限，预注册回退 §0.7 #4）,出边 gmax→0（M6 L15：整体重建数组）,tonic 0.5 nA × 2000.0 ms
