# M8 铁律 C 三组缩放扫描结果（tools/scan_m8_scaling.py 生成，G0 门）
# 列语义：scale=规模轴（300/1000/3016 幼虫子集；302=C. elegans 锚行）；
#   fidelity=保真度轴（point/two_comp/hh，dt 并入档位）；
#   plasticity=可塑性轴（none/stp/stdp/stdp_homeo）；
#   ci_direction=趋化 CI 符号（正趋化=+）；escape_*=痛觉逃避方向（back/not_back）；
#   resting_silent_frac=静默比例（G1 带 [50,90]%）；spont_*=自发状态比例；
#   li/li_mode=学习探针 LI（weight=KC→MBON 权重档，mbon_rate=发放率档）；
#   probe= T=1s 探针墙钟；chem_wall_s_mean=趋化短协议单试次墙钟。
scale,fidelity,plasticity,source,dt_ms,method,status,n_neurons,n_chem,n_gap,n_muscle,build_wall_s,probe_T_ms,probe_wall_s,ci_mean,ci_sem,ci_n,ci_direction,escape_direction,escape_d_peak,escape_curl_peak,resting_median_hz,resting_silent_frac,resting_max_hz,spont_fwd,spont_rev,spont_turn,spont_pause,li,li_mode,dw_stdp,chem_wall_s_mean,total_wall_s,notes
300,point,none,connectome,0.1,exponential_euler,done,300,3350,0,40,0.597,1000.0,2.162,0.0,nan,1,-,not_back,0.0,0.0,0.0,0.8167,4.5,0.0,0.0,0.465,0.535,0.0,no_plasticity,nan,10.751,45.7,⚠ PROVISIONAL_NT：未标注化学边临时类级回退 n=1309 （B1a 递质标注不完整，非权威）; ⚠ PROVISIONAL_MUSCLE：运动池→通道临时映射 （幼虫脑连接组无肌肉行，P3 节点定稿真实映射）; 300 点神经元基线（grouped）
300,point,stp,connectome,0.1,exponential_euler,done,300,3350,0,40,0.277,1000.0,2.886,0.0,nan,1,-,not_back,0.0,0.0,0.0,0.8167,4.5,0.0,0.0,0.465,0.535,0.0,no_plasticity,nan,13.556,56.3,⚠ PROVISIONAL_NT：未标注化学边临时类级回退 n=1309 （B1a 递质标注不完整，非权威）; ⚠ PROVISIONAL_MUSCLE：运动池→通道临时映射 （幼虫脑连接组无肌肉行，P3 节点定稿真实映射）; 300 点 + STP（全化学突触）
300,point,stdp,connectome,0.1,exponential_euler,done,300,3350,0,40,0.287,1000.0,3.108,0.0,nan,1,-,not_back,0.0,0.0,0.0,0.8167,4.5,0.0,0.0,0.465,0.535,0.0,weight,0.0,15.574,64.5,⚠ PROVISIONAL_NT：未标注化学边临时类级回退 n=1309 （B1a 递质标注不完整，非权威）; ⚠ PROVISIONAL_MUSCLE：运动池→通道临时映射 （幼虫脑连接组无肌肉行，P3 节点定稿真实映射）; 300 点 + STDP（KC→MBON 子集）
300,point,stdp_homeo,connectome,0.1,exponential_euler,done,300,3350,0,40,0.298,1000.0,3.328,0.0,nan,1,-,not_back,0.0,0.0,0.0,0.8167,4.5,0.0,0.0,0.465,0.535,0.0,weight,0.0,15.71,64.0,⚠ PROVISIONAL_NT：未标注化学边临时类级回退 n=1309 （B1a 递质标注不完整，非权威）; ⚠ PROVISIONAL_MUSCLE：运动池→通道临时映射 （幼虫脑连接组无肌肉行，P3 节点定稿真实映射）; 300 点 + STDP+稳态（防饱和）
300,two_comp,none,connectome,0.05,exponential_euler,done,300,3317,0,40,0.734,1000.0,3.889,0.19,nan,1,+,back,0.505,0.0,0.0,0.83,21.0,0.12,0.17,0.63,0.08,0.0,no_plasticity,nan,9.646,50.8,⚠ PROVISIONAL_NT：未标注化学边临时类级回退 n=1271 （B1a 递质标注不完整，非权威）; ⚠ PROVISIONAL_MUSCLE：运动池→通道临时映射 （幼虫脑连接组无肌肉行，P3 节点定稿真实映射）; 300 双隔室（grouped 2N；短协议）
1000,point,none,connectome,0.1,exponential_euler,done,1000,21814,0,138,17.31,1000.0,3.384,-0.0063,nan,1,-,back,0.4195,0.0,0.0,0.82,5.0,0.206,0.113,0.644,0.037,0.0,no_plasticity,nan,13.542,166.1,⚠ PROVISIONAL_NT：未标注化学边临时类级回退 n=10975 （B1a 递质标注不完整，非权威）; ⚠ PROVISIONAL_MUSCLE：运动池→通道临时映射 （幼虫脑连接组无肌肉行，P3 节点定稿真实映射）; 1000 点神经元基线
1000,point,stp,connectome,0.1,exponential_euler,done,1000,21814,0,138,17.406,1000.0,4.018,-0.0063,nan,1,-,back,0.4195,0.0,0.0,0.82,5.0,0.206,0.113,0.644,0.037,0.0,no_plasticity,nan,16.163,173.1,⚠ PROVISIONAL_NT：未标注化学边临时类级回退 n=10975 （B1a 递质标注不完整，非权威）; ⚠ PROVISIONAL_MUSCLE：运动池→通道临时映射 （幼虫脑连接组无肌肉行，P3 节点定稿真实映射）; 1000 点 + STP
1000,point,stdp,connectome,0.1,exponential_euler,done,1000,21814,0,138,18.311,1000.0,4.363,-0.0063,nan,1,-,back,0.4195,0.0,0.0,0.82,5.0,0.206,0.113,0.644,0.037,0.0,weight,0.0,17.976,183.7,⚠ PROVISIONAL_NT：未标注化学边临时类级回退 n=10975 （B1a 递质标注不完整，非权威）; ⚠ PROVISIONAL_MUSCLE：运动池→通道临时映射 （幼虫脑连接组无肌肉行，P3 节点定稿真实映射）; 1000 点 + STDP
3016,point,none,connectome,0.1,exponential_euler,done,2889,109887,0,398,754.979,1000.0,4.997,0.0,nan,1,-,back,0.3894,0.0,0.0,0.8477,7.5,0.425,0.25,0.212,0.113,0.0,no_plasticity,nan,10.031,4592.7,"B1a roster=2889 ≠ 论文 3016（64 神经元分析图外，B1a 三态裁决请求）; ⚠ PROVISIONAL_NT：未标注化学边临时类级回退 n=84765 （B1a 递质标注不完整，非权威）; ⚠ PROVISIONAL_MUSCLE：运动池→通道临时映射 （幼虫脑连接组无肌肉行，P3 节点定稿真实映射）; 3,016 全脑点神经元（grouped 稀疏 stim）"
3016,point,stp,connectome,0.1,exponential_euler,done,2889,109887,0,398,753.733,1000.0,5.999,0.0,nan,1,-,back,0.3894,0.0,0.0,0.8477,7.5,0.425,0.263,0.2,0.113,0.0,no_plasticity,nan,11.917,4655.0,"B1a roster=2889 ≠ 论文 3016（64 神经元分析图外，B1a 三态裁决请求）; ⚠ PROVISIONAL_NT：未标注化学边临时类级回退 n=84765 （B1a 递质标注不完整，非权威）; ⚠ PROVISIONAL_MUSCLE：运动池→通道临时映射 （幼虫脑连接组无肌肉行，P3 节点定稿真实映射）; 3,016 全脑 + STP"
